stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,79,2,0,0,0,0
 24-34,0,3.28,2.46,0.82,0,0,0,0,3.28,0,0,0,0,0,0,12.31,0,0.82,0,0.82,92.76,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,7.25,0,0,0.81,0.81,0,0.81,4.83,0,0,0,0,69.29,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,2.3,0,0,0.57,0.57,0.57,0,4.59,0,0,0,0.57,37.87,2.3,0,0,0.57,0
 60-70,0,0,0,0,0,2.94,0,1.96,3.93,0,0.98,2.94,0,0,0.98,6.87,0,0,0,0,46.13,0.98,0,0,0,0
 72-82,0.98,1.96,0,1.96,0,3.93,0,1.96,36.32,0,0,1.96,6.87,0,0,21.6,1.96,0.98,0,0,77.55,2.94,1.96,1.96,0,0
 84-94,0,6.37,1.06,0,0,8.5,0,3.19,72.22,1.06,0,4.25,4.25,0,0,9.56,0,0,0,3.19,164.62,0,0,0,0,1.06
 96-106,1.09,9.84,3.28,2.19,0,9.84,0,0,57.92,0,0,2.19,7.65,2.19,0,13.11,0,0,1.09,6.56,169.39,1.09,0,2.19,0,1.09
108-118,0.77,14.55,1.53,0.77,1.53,21.45,0.77,1.53,85.02,0,0,1.53,3.83,0,0.77,19.92,0,0,0,3.06,157.79,1.53,0,0,0.77,0
120,0,3.92,7.84,1.96,0,7.84,0,1.96,56.83,3.92,0,0,5.88,0,1.96,9.8,0,1.96,0,3.92,109.75,0,0,0,0,0
