stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,1989.87,32931.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.51,0,0,0,0,0,0
  5-6,1875.67,22017.65,12.26,0,0,0,0,0,30.65,0,0,0,0,0,0,275.83,24.52,0,0,55.17,521.02,0,0,0,0,0,0
  7-9,28.92,42.06,44.69,0,0,36.8,0,0,34.17,0,0,0,0,0,0,1853.24,15.77,0,0,160.35,18.4,31.54,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0,0,280.08,0,0,0,22.03,12.59,3.15,0,0,0,0,0
 14-21,0,0,0,18,0,2,0,2,0,0,0,3,0,0,5,64,0,0,2,0,2,0,4,3,6,0,0
 24-34,0,0,0,2.46,0,0.82,0,4.1,0,0,0.82,1.64,0,0.82,0,25.45,0,0.82,0,0,5.75,0,0,0,4.1,0,0.82
 36-46,0,0,0,0.81,0,0,0,4.83,0,0,0,1.61,0,0,0.81,12.09,0,0,0,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,1.15,0,1.72,0,0,0,2.3,0,0,0,2.3,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,4.25,0,1.06,0,1.06,0,0,1.06,2.12,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
