stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,4.93,0,0.82,21.34,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0.81,0,0.81,83.79,0.81,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0.57,0,12.62,0.57,2.87,0,0.57,0,3.44,0,0.57,122.22,0,0,0,0,0,0,14.92,0,0,0
 60-70,0,0,0.98,0,23.56,0,1.96,0,0,0,2.94,0,0.98,140.36,0,0,0,0,0,0,10.8,0,0,0
 72-82,0,1.96,0.98,0.98,20.61,0,8.83,0.98,0,0,8.83,0.98,0,123.69,1.96,0,0,0.98,0,0,12.76,0.98,0,0
 84-94,0,0,0,0,22.3,0,3.19,0,0,1.06,5.31,0,1.06,69.03,0,1.06,0,0,0,0,5.31,0,0,0
 96-106,0,1.09,0,0,8.74,0,0,0,0,0,2.19,0,0,34.97,0,0,0,0,1.09,0,1.09,0,1.09,1.09
108-118,0,0,0,0,9.19,0,0.77,0,0,0,3.83,0.77,0,56.68,1.53,1.53,0,0.77,0,0.77,3.06,0,0,0
120,0,0,0,1.96,5.88,0,1.96,0,0,0,0,0,0,54.87,3.92,0,0,1.96,0,0,1.96,0,1.96,0
