stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,26,0,2,2,0,92,8,1,26,91,0,0,0,0,0
 24-34,0,0,0,0,4.93,1.64,0,1.64,0,0.82,3.28,0,0,0,0,0,3.28,0,0,5.75,0,5.75,108.35,0.82,10.67,0,1.64,0,6.57,0,31.19,123.13,0,0,0.82,0,0
 36-46,0,0,0,0.81,2.42,0,0,4.83,0,0,0,2.42,0,0,0,0,8.86,0,0,8.06,0,9.67,170,0,10.47,0,0,0,4.03,0,0.81,128.1,0,0,0.81,0,0
 48-58,0.57,0,0,0,1.72,0,0,11.48,0,0,0.57,4.02,0,0,0,0.57,9.18,0,0.57,16.64,0.57,12.62,226.08,0,6.89,0,2.3,0,2.87,0,0,80.91,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,39.26,0,0,1.96,12.76,0,0,0,0,5.89,0,0,21.59,0,12.76,338.63,1.96,5.89,0,0,0,6.87,0,0,85.39,0,0,0,0,0.98
 72-82,0,0,2.94,0,5.89,0,0,47.12,0,0.98,0,12.76,0,0,0,0,27.49,0.98,0,51.05,0,17.67,361.25,0,9.82,0,0,0,0.98,0,0,39.27,0.98,0,0,0.98,0
 84-94,0,0,3.19,0,12.74,0,1.06,38.23,0,1.06,0,14.87,0,0,0,0,13.81,1.06,0,22.3,1.06,14.87,225.15,0,9.56,0,0,0,4.25,0,0,28.68,2.12,0,0,0,0
 96-106,0,0,3.28,0,5.46,0,2.19,36.06,1.09,0,0,12.02,2.19,0,0,0,17.49,1.09,0,27.32,1.09,8.74,170.48,1.09,8.74,0,0,0,5.46,0,0,14.21,0,0,2.19,0,0
108-118,0,0,1.53,0,8.43,0,0,46.72,0.77,0.77,0.77,14.55,0.77,0,0.77,0,12.26,0.77,0,16.85,0,3.06,213.7,0,6.13,0,0,0,0.77,0,0,10.72,0.77,0.77,1.53,0,0.77
120,1.96,0,3.92,0,11.76,0,0,33.32,0,0,0,13.72,3.92,0,0,0,5.88,0,0,25.48,0,7.84,197.94,0,5.88,0,0,0,1.96,0,0,13.72,0,0,1.96,0,0
