stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,9.44,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0.82,1.64,0,2.46
 36-46,0,0,0,0,0,0,0.81,1.61,0.81,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,2.3,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,1.96,0
 72-82,0.98,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,5.89,0
 84-94,0,0,0,0,0,0,3.19,1.06,1.06,0,0,0,0,0,0,0,46.73,0
 96-106,0,0,0,0,1.09,0,9.84,0,0,1.09,1.09,0,0,0,0,0,66.66,1.09
108-118,0.77,0,0,0,0,0.77,19.15,0,0.77,1.53,0,0,1.53,0,0,0,99.58,0.77
120,1.96,0,0,0,0,0,13.72,0,0,1.96,0,0,0,0,0,0,25.48,0
