stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,3,2,2,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,3,1,1,6,0
 24-34,0,1.64,0,0,0,0,0,1.64,0,0,0,0,0,0,6.57,0.82,0.82,0,0,0,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0,2.87,0,0,0,1.15,0,0,0,1.72,0
 60-70,0,0,0,22.58,0,0,0,6.87,0,0.98,0,5.89,0,0,52.02,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,2.94,0,0,0,5.89,0.98,0,0.98,5.89,0.98,0.98,7.85,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,5.31,0,0,2.12,0,2.12,6.37,1.06,2.12,0,2.12,0,0,0,1.06,0
 96-106,0,0,1.09,5.46,0,1.09,0,1.09,7.65,0,0,1.09,0,0,3.28,0,0,0,4.37,0,0,0,1.09,0
108-118,0.77,0,0,1.53,0,0,0.77,4.6,9.19,0,0.77,2.3,0,0.77,6.89,0,0.77,0,1.53,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,0,15.68,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0
