stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,7.89,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,25.18,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,10,0,8,44,7,0,0,1,0,0,0,11,0,4,16,38,0,0,1,0,2
 24-34,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0.82,0,0,0,0,0,2.46,23.8,0,4.93,188.8,2.46,0,0,0,0,0,0,0,0,0,2.46,58.28,0,0,1.64,0,5.75
 36-46,0,0,0,0,2.42,0,0,107.15,0,0,4.83,4.03,0,0,0,0,0,0,0,1.61,29,0,7.25,199.81,0,0,0.81,0,0.81,2.42,0.81,0,0,0,0,51.56,0,0,3.22,0,4.03
 48-58,0.57,0,0,0,0.57,0.57,0,282.89,0,1.15,1.72,17.21,0,0,0,0,0,0.57,0.57,7.46,51.07,1.15,6.89,213.46,1.15,0.57,1.15,0,0,1.15,0,0,0,0,0,57.95,0,0.57,1.15,0,7.46
 60-70,0,0,0,0,2.94,0,0,391.63,0.98,2.94,0.98,25.52,0,0.98,0,0,0,0,0.98,0,62.82,1.96,2.94,249.31,0.98,0.98,0.98,0,0,0.98,0,0,0,0,0,43.19,0,1.96,0.98,0,4.91
 72-82,0,0,0.98,0,2.94,0,0,461.38,0,0,2.94,52.03,0.98,0,0.98,3.93,0.98,0,0,1.96,107,3.93,7.85,257.2,1.96,0,0.98,0,0,0,0,0,0,0,0,17.67,0.98,0.98,5.89,4.91,2.94
 84-94,0,0,0,0,6.37,1.06,0,221.97,1.06,0,5.31,33.99,0,1.06,0,0,4.25,0,1.06,4.25,82.84,2.12,5.31,134.88,1.06,0,3.19,0,0,1.06,0,0,0,0,0,16.99,0,1.06,6.37,3.19,7.43
 96-106,0,0,1.09,0,4.37,1.09,0,217.48,1.09,1.09,5.46,34.97,1.09,0,1.09,5.46,5.46,1.09,2.19,0,79.78,0,4.37,112.56,1.09,0,2.19,0,2.19,0,0,0,0,0,0,9.84,0,3.28,5.46,4.37,3.28
108-118,0,0,0.77,0,4.6,0.77,0.77,160.85,0,0,3.83,26.81,0.77,0,0.77,3.83,4.6,0.77,0,2.3,54.38,0.77,2.3,119.49,0.77,0,1.53,0,2.3,0.77,0,0,0.77,0,0,3.06,0,1.53,3.06,2.3,6.89
120,0,0,0,0,3.92,0,1.96,143.06,0,1.96,1.96,39.2,0,0,0,3.92,3.92,0,0,3.92,43.12,0,0,90.15,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,1.96,1.96
