stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,2,34,0,1,0,1,0,0,7,0,0,7,9,0,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,7.39,0.82,0,2.46,0,0,0,0,0,0,0,0,0,11.49,0.82,0,5.75,120.67,0,0.82,0,0,0,1.64,0.82,0,0.82,2.46,28.73,0,0,4.1,0,0
 36-46,0,0,0,3.22,0,17.72,0,0,6.45,0,0,0,0,0,0.81,0,0,0,14.5,0,0.81,2.42,121.66,2.42,1.61,0.81,0,0,3.22,0,0,0,0,15.31,0,0,4.03,0,0
 48-58,0,0,0,2.3,0,35.58,0,1.15,10.33,0,0,0.57,0.57,0,0,0.57,0.57,0.57,16.07,0.57,2.87,2.3,123.37,0,1.15,0.57,0,0,3.44,0,0,0,0,25.25,0,0,1.15,0,0
 60-70,0,0,0,3.93,0,33.37,0.98,0.98,6.87,0,0,0.98,0,0,0,0,0,0,18.65,0,0,1.96,129.56,0.98,0,0,0,0,5.89,0,0,0.98,0,17.67,0,0,1.96,0,0
 72-82,0,0,0,0,0,54.97,0,0.98,15.71,0.98,0,0.98,0,0,1.96,0,0,0,37.3,0.98,0,2.94,122.71,0,0.98,1.96,0,1.96,4.91,0,0.98,0,0,21.6,0,0,1.96,0,0.98
 84-94,0,0,0,2.12,1.06,26.55,1.06,0,5.31,0,0,0,1.06,0,2.12,0,0,0,20.18,0,0,3.19,61.6,0,1.06,1.06,0,0,3.19,0,0,0,0,7.43,2.12,0,2.12,0,0
 96-106,0,0,0,9.84,1.09,25.14,1.09,3.28,14.21,1.09,0,0,0,1.09,1.09,1.09,0,0,30.6,0,3.28,3.28,53.55,1.09,1.09,3.28,0,1.09,7.65,0,0,0,0,3.28,1.09,1.09,0,1.09,2.19
108-118,0,0.77,0,4.6,0.77,14.55,0,1.53,12.26,1.53,0,0,1.53,1.53,2.3,1.53,0,1.53,19.92,0,0.77,2.3,76.6,0.77,0.77,0,0,1.53,8.43,0,0.77,0,0,3.06,0.77,0,1.53,0,0
120,0,0,0,5.88,1.96,23.52,0,0,11.76,0,0,0,0,0,0,0,0,0,29.4,1.96,0,1.96,84.27,0,1.96,5.88,0,1.96,9.8,0,0,0,0,3.92,0,0,3.92,0,0
