stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,iridophores,mesenchyme,muscle,neural,periderm,somites,spinal.cord,vasculature
 14-21,1,1,1,0,0,0,0,0,0,4,0,1,0,0
 24-34,0.82,0,2.46,0,0,0,0,0.82,0.82,7.39,0,0,0.82,0
 36-46,0,0,1.61,0,0.81,0.81,0,2.42,0.81,14.5,0,0,1.61,0
 48-58,0,0,3.44,0,0.57,0,0,1.72,0.57,9.18,0,0,0,0
 60-70,0,0,5.89,0,2.94,0,0,0.98,0,13.74,0,0,0,0.98
 72-82,0,0,1.96,0,0.98,0,0,2.94,0,7.85,0,0,0,0
 84-94,1.06,1.06,3.19,0,2.12,0,0,1.06,0,3.19,1.06,0,0,0
 96-106,0,0,2.19,1.09,2.19,0,0,1.09,0,2.19,0,0,1.09,0
108-118,0,0,1.53,0.77,0.77,0,0,2.3,0.77,4.6,0,0,0.77,0
120,0,0,0,0,0,0,1.96,5.88,0,5.88,1.96,0,0,0
