stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,414,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,14,3,0,6,45,5,0,0,3,0,1,0,5,5,12,0,0,0,0,0
 24-34,0,0,194.54,0,0,5.75,0,14.78,0,4.93,0,0,0,0,0,0,0,0.82,26.27,1.64,0,11.49,215.89,0,5.75,0,0,0,0.82,2.46,0.82,4.1,50.89,0,0,4.93,0,0
 36-46,0,0,46.73,0,0,15.31,0,8.86,8.06,4.03,0,0.81,0.81,0,0.81,1.61,0,0,74.12,1.61,0,29.81,671.12,0,5.64,0.81,0,0,0,0.81,0,0,84.6,0,0,9.67,0,0
 48-58,0,0,30.99,1.15,0,74.02,0,10.9,29.84,20.08,0,2.87,1.72,0,1.72,1.15,0.57,0.57,195.09,1.15,1.15,49.35,1343.85,0,7.46,1.15,0,0,1.15,1.15,0,0,112.47,0,0,9.75,0,2.3
 60-70,0,0,16.69,0.98,0,169.8,2.94,17.67,36.32,42.21,0,0.98,1.96,0,5.89,0.98,0.98,0.98,272.86,1.96,1.96,52.02,2192.72,0.98,10.8,2.94,0,1.96,3.93,0,0,0,165.88,0,0,9.82,0.98,0.98
 72-82,0.98,0,48.1,5.89,0,513.41,0.98,15.71,56.94,95.22,1.96,1.96,2.94,0.98,7.85,0.98,1.96,0,490.83,1.96,3.93,78.53,2224.45,1.96,15.71,1.96,0,0,4.91,0.98,0,0,149.21,0,0.98,17.67,5.89,5.89
 84-94,1.06,0,66.91,2.12,0,384.46,1.06,41.42,43.54,70.09,2.12,0,3.19,4.25,9.56,1.06,0,0,340.91,1.06,8.5,49.92,1168.24,0,10.62,3.19,0,2.12,13.81,2.12,0,0,58.41,1.06,3.19,7.43,3.19,1.06
 96-106,0,1.09,100.54,1.09,1.09,465.55,2.19,28.41,37.16,74.31,4.37,4.37,1.09,5.46,19.67,7.65,2.19,0,409.82,2.19,6.56,54.64,1136.56,3.28,26.23,8.74,0,4.37,13.11,0,0,0,33.88,1.09,2.19,7.65,5.46,1.09
108-118,0,0,94.21,1.53,0,263.49,0,57.45,21.45,69.7,2.3,0,6.13,16.09,36,0.77,1.53,0,408.26,2.3,7.66,49.79,1247.75,0,8.43,5.36,0,3.06,3.83,0.77,0,0,31.4,0,0,21.45,2.3,0
120,0,0,66.63,0,1.96,246.93,0,27.44,25.48,54.87,1.96,0,5.88,0,11.76,0,3.92,0,303.77,0,9.8,33.32,1291.5,0,7.84,1.96,0,3.92,5.88,3.92,0,0,25.48,0,0,9.8,0,0
