stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1449.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,26.29,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,22.03,0,9.44,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,69,1,0,7,0,0,0,9,0,0,1,0,1,0,0,0,0,3,0,0,0,186,3,0,0,2,0,10,0,3,3,3,77,0,0,1,0,0
 24-34,0,0,0.82,50.89,0.82,0,119.02,0,5.75,0,27.09,0.82,0,3.28,0.82,1.64,0.82,2.46,1.64,0,10.67,0.82,0,6.57,802.8,0.82,0,0.82,0.82,0,8.21,0,0,12.31,1.64,209.32,0,0,20.52,0,0
 36-46,0,0,0,20.95,0,0,133.74,0,4.03,0,73.32,0,0,2.42,0.81,0,0,0,0,0.81,5.64,0.81,0.81,0.81,733.96,1.61,0,1.61,0,0,8.06,0,0,5.64,0,271.51,0,0,8.86,0,2.42
 48-58,0,0,0.57,17.21,0,0,132.55,0.57,4.59,0.57,104.43,0,0,4.02,0,0.57,1.15,2.3,0.57,0,19.51,2.3,0.57,2.87,218.62,0,1.15,0.57,0,0,4.59,0,0,4.02,0,140.01,0,0,10.9,0,1.15
 60-70,0,0,0,22.58,0,0,82.45,0.98,5.89,0.98,107.97,0.98,0,0,0.98,0,0,4.91,0,0,36.32,2.94,0,1.96,109.93,0,0,0,0,0,13.74,0,0,0.98,0,42.21,0,0,9.82,0,2.94
 72-82,0,0,0,47.12,0.98,0,46.14,0,8.83,0,178.66,8.83,0,6.87,0,3.93,0.98,4.91,1.96,0,65.77,0.98,3.93,6.87,94.24,0,0,1.96,0,0,9.82,0,0,2.94,0,40.25,0,0,15.71,3.93,0.98
 84-94,0,0,0,65.85,1.06,1.06,33.99,0,15.93,0,105.14,12.74,0,3.19,1.06,4.25,4.25,3.19,1.06,0,46.73,1.06,5.31,3.19,81.78,0,2.12,2.12,0,1.06,44.61,0,0,3.19,0,26.55,1.06,2.12,18.05,2.12,0
 96-106,0,0,0,79.78,0,4.37,36.06,0,14.21,0,81.96,26.23,0,5.46,4.37,4.37,2.19,6.56,2.19,0,60.11,3.28,10.93,2.19,59.01,1.09,3.28,0,0,2.19,39.34,0,0,5.46,0,29.51,0,1.09,18.58,6.56,0
108-118,0,0,0,95.75,1.53,11.49,25.28,2.3,20.68,0.77,96.51,17.62,0,2.3,0.77,3.83,6.13,3.83,5.36,0,62.81,2.3,4.6,1.53,89.62,0.77,3.06,2.3,0,2.3,31.4,0,0,7.66,0,6.13,1.53,3.06,13.79,3.06,1.53
120,0,0,0,111.71,0,5.88,17.64,0,3.92,0,74.47,15.68,0,3.92,0,1.96,3.92,3.92,0,0,39.2,0,0,0,52.91,1.96,3.92,1.96,0,3.92,11.76,0,0,7.84,0,11.76,0,3.92,9.8,3.92,0
