stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,276.74,5033.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,263.57,2880.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,23.66,18.4,0,15.77,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,257.61,10.51,0,0,97.26,0,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,38,0,0,0,0,0,1,1,3,1,6,15,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,9.85,0,0,1.64,0,0,0,0,0,0,0,0,0,4.93,0,2.46,130.52,0,4.1,2.46,0,0,1.64,0,0,0,0,22.98,0,0,1.64,0
 36-46,0,0,0,0,0,0,37.06,0,0,4.83,0,0,0.81,0,0,0,0,0,0,11.28,0.81,0.81,175.64,0,1.61,0,0,0,0,0,0,0,0,25.78,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,51.07,0.57,0,5.16,0,0,0,0,0,0.57,0,0,1.15,12.05,0,2.3,144.03,0,0.57,0,0,0,0,0,0,0,0,21.8,0,0,1.15,0
 60-70,0,0,0,0,0,0,91.28,0,0,16.69,0,0,1.96,0,0.98,0,0,0.98,0,15.7,1.96,0,155.08,0,0.98,0,0,0,0,0,0,0,0,9.82,0,0.98,0,0.98
 72-82,0,0,0.98,0,0.98,0.98,102.09,0,0,4.91,0,0,0.98,0,0,0,1.96,0,0,13.74,0,0.98,124.67,0.98,3.93,0.98,0,0.98,0,0,0,0,0,9.82,0.98,0.98,0.98,0
 84-94,0,0,0,0,4.25,1.06,46.73,0,2.12,7.43,1.06,0,1.06,0,0,0,0,0,0,11.68,0,1.06,45.67,0,0,0,0,0,1.06,0,0,1.06,0,7.43,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,0,25.14,0,0,5.46,0,0,0,2.19,0,0,2.19,0,0,8.74,0,0,46.99,0,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0
108-118,0,0,1.53,0,3.06,0.77,31.4,0,0.77,6.13,0,0,0,0.77,0,0,0.77,0,0,12.26,0,0,63.57,0,0,0,0,0,0,0,0,0,0,2.3,0,0,2.3,0
120,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,47.03,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
