stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,333.85,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,12.59,0,3.15,0,0,0,0,0,0,541.28,0,0,0,0,0,0,0,0,0,0,0,402.81,12.59,0,0,110.14,0,0,22.03,0,3.15,0,0,0
 14-21,1,0,2,8,169,36,60,0,1,0,21,4,247,2,2,5,0,0,7,4,67,0,0,38,765,36,4,9,20,27,100,6,18,133,247,10,0
 24-34,0.82,0,1.64,5.75,101.79,13.95,172.38,2.46,9.03,2.46,42.68,3.28,77.16,4.1,4.93,9.03,3.28,4.1,3.28,9.03,153.5,1.64,0.82,91.94,1787.82,13.13,9.03,14.78,0,103.43,1.64,9.03,14.78,49.25,360.36,65.67,4.1
 36-46,0,0,0,0.81,13.7,0.81,51.56,0,1.61,3.22,6.45,0,24.98,1.61,4.03,2.42,1.61,0,1.61,2.42,41.89,1.61,0,19.34,380.28,2.42,0.81,0,0,30.62,0,3.22,0.81,1.61,61.23,5.64,3.22
 48-58,0,0,0,0.57,4.02,0,49.35,0,0,0.57,7.46,0,46.48,0,0,1.15,1.15,1.15,0,0.57,24.67,0,1.15,2.3,140.01,0.57,0.57,0,0,9.75,0,0,0.57,0,20.08,1.15,3.44
 60-70,0,0,0,0,0,0.98,15.7,0,0,0,2.94,0,25.52,0,0,0,0,0,0,0,7.85,0.98,0,0.98,19.63,0,0,0,0,1.96,0,0,0,0,4.91,0,0.98
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0,14.72,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,1.06,0,0,0,2.12,0,12.74,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
