stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,65.89,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,723.3,6.13,0,0,0,0,0,0,0,0,18.39,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,7.89,5.26,18.4,0,0,36.8,0,15.77,0,0,0,357.5,7.89,0,105.15,0,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,3.15,28.32,0,3.15,0,0,3.15,220.29,6.29,0,72.38,3.15,0,12.59,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,5,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0.57,0,1.15,0,0.57,0,0.57,0,0.57,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
