stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,49.04,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,21.03,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,4,0,0,3,0,0,0,0,1,0,0,0,0,1,53,4,1,0,0,0,40,0,4,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,7.39,0,1.64,0.82,0,0,0,0,9.03,0,0.82,0,0,0,290.58,0,25.45,0,0,0,41.04,1.64,6.57,0,0,0.82,0
 36-46,0,0,0,0,9.67,0,6.45,0,2.42,2.42,0,0.81,0,0,6.45,0,4.83,0,0,4.83,263.45,0,25.78,0.81,0,0.81,29,0,8.06,0,0,0,0.81
 48-58,0,0,0,0,18.94,0,17.21,1.72,2.3,0,0,1.15,0,0,3.44,0,5.74,0.57,0,18.36,173.29,0.57,10.9,0,0,0.57,21.8,0,6.31,0,0,0.57,0
 60-70,0,0,0,0,29.45,0,9.82,2.94,0.98,0.98,0,0,0,0,2.94,0,7.85,0,0,7.85,110.91,0,5.89,0,0,0,24.54,0,1.96,0,0,1.96,0
 72-82,0,0,0,0,21.6,0,12.76,1.96,0.98,2.94,0,0,0,0.98,0.98,0,4.91,0,0.98,3.93,78.53,0,6.87,0,0,0.98,29.45,0,0,0,0,0,0
 84-94,1.06,0,0,0,22.3,0,14.87,0,1.06,1.06,0,0,1.06,1.06,1.06,1.06,5.31,0,0,4.25,47.79,0,13.81,0,0,0,96.65,0,0,1.06,0,0,0
 96-106,0,0,0,0,21.86,0,7.65,1.09,2.19,2.19,0,0,1.09,0,1.09,0,1.09,0,0,1.09,37.16,0,26.23,1.09,0,2.19,72.13,0,1.09,0,0,0,0
108-118,0,0,0,0,19.92,0.77,4.6,0,0.77,1.53,0,0,0,0,0,0.77,2.3,0,0,1.53,39.06,0,16.09,0,0,0,88.85,0,0,0,0,0.77,0
120,0,0,0,0,11.76,0,3.92,0,1.96,0,0,0,3.92,1.96,0,0,1.96,0,0,1.96,48.99,1.96,15.68,0,0,0,39.2,0,0,0,1.96,0,0
