stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,0
 24-34,0,1.64,0,0,2.46,0.82,0,0,0,0.82,0,0,2.46,0,0,0,3.28,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0.81,8.86,0,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0.57,0,0,0,4.59,0.57,0,0,0,0,0,0,1.72,0
 60-70,0,0.98,0.98,0,1.96,0.98,1.96,0,0,13.74,0,0,1.96,0,0,0.98,4.91,0,0.98,0,2.94,0.98,0,0,1.96,0
 72-82,0,0,0,0,7.85,0.98,2.94,0.98,0,26.5,0,0,7.85,0.98,0,0,13.74,0,1.96,0,0,0,0,0,0,1.96
 84-94,0,2.12,1.06,0,4.25,0,1.06,0,1.06,58.41,2.12,1.06,4.25,0,0,0,3.19,0,1.06,0,3.19,0,0,0,0,2.12
 96-106,0,2.19,1.09,1.09,1.09,1.09,2.19,2.19,0,80.87,0,0,4.37,0,1.09,0,9.84,1.09,0,0,2.19,0,0,0,0,1.09
108-118,0,3.06,0,0,5.36,0,0,0,0,72,0,0,4.6,0,0,0,7.66,0,0.77,0,1.53,0,0,0,0,0.77
120,0,3.92,0,0,5.88,1.96,0,0,1.96,45.08,0,0,1.96,0,0,0,15.68,0,0,0,0,0,0,0,1.96,1.96
