stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,3,0,6,0,0,0,5,2,0,0,0,3,0,0,0,0,7,0,0,0,141,0,2,1,6,12,11,2,0,14,52,0,0,2,0,0
 24-34,0,0,0,0,9.85,0.82,0,32.83,0,0,1.64,6.57,0,0,0,0.82,2.46,0,0,0,0,16.42,0,0,5.75,180.59,0.82,0.82,4.1,0,28.73,0,0,0,0.82,43.51,0,0,1.64,0,0.82
 36-46,0,0,0,0,6.45,0,0,57.2,0,0,0,2.42,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,106.35,0,0.81,2.42,0,14.5,0,0,0,0,40.28,0,0,0,0,0.81
 48-58,0,0,0,0,5.16,0,0,70,0,0,0,4.59,0,0.57,0,0,0.57,0.57,0,1.72,0,9.18,0.57,0,2.3,41.89,0,1.15,2.87,0,11.48,0,0,0,0,12.05,0,0,0,0,0
 60-70,0,0,0,0,7.85,1.96,0,50.06,0.98,1.96,0,2.94,5.89,0,0,0,0,0.98,2.94,0.98,0.98,4.91,0.98,0.98,0,43.19,0,0,0.98,0,5.89,0,0.98,0.98,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,0,13.74,0,0,16.69,0,2.94,0,3.93,3.93,0,0,0.98,0.98,0,0,3.93,0,9.82,0,0,3.93,34.36,0,0.98,0.98,0,10.8,0,0,0.98,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,0,0,5.31,0,1.06,6.37,0,0,0,5.31,3.19,0,0,1.06,2.12,1.06,1.06,1.06,0,6.37,1.06,1.06,3.19,19.12,0,2.12,1.06,0,7.43,0,4.25,0,0,3.19,2.12,0,1.06,0,0
 96-106,0,0,1.09,0,7.65,0,0,17.49,0,1.09,0,6.56,4.37,0,1.09,3.28,0,0,0,0,0,2.19,0,0,0,21.86,0,0,2.19,0,8.74,0,3.28,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,6.13,1.53,0,10.72,0.77,0.77,0,4.6,2.3,0,0,1.53,0.77,0,0,0.77,0,3.06,0,0.77,0.77,23.74,0,1.53,1.53,0,6.89,0,0.77,0,0,1.53,0.77,0,0,0.77,0
120,0,0,0,0,9.8,0,0,13.72,1.96,0,0,5.88,0,0,0,1.96,1.96,0,1.96,1.96,0,1.96,1.96,0,0,17.64,0,0,0,0,5.88,0,1.96,0,0,3.92,1.96,0,1.96,1.96,0
