stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.72,0,2.87,0.57,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,14.72,2.94,0,0,3.93,0,0.98,0,0,0.98,0,0,1.96
 84-94,0,1.06,0,0,0,0,0,0,1.06,0,0,53.1,0,0,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,3.28,2.19,3.28,0,0,0,1.09,1.09,170.48,3.28,0,0,14.21,0,3.28,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0,2.3,0.77,0,1.53,0.77,0,257.36,3.06,1.53,0,9.96,0,0.77,0,0.77,0,0.77,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,109.75,0,0,1.96,17.64,0,0,0,0,0,0,1.96,0
