stage,endocrine.pancreas,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,1,0,1,7,0,0,0,1,5,1
 24-34,0,0,0.82,0.82,1.64,0,0.82,21.34,0,0,0.82,0,1.64,0.82
 36-46,0,0,3.22,0,1.61,0,0,48.34,0,0,0,0,7.25,0.81
 48-58,0,0.57,5.16,0,0,0,0,33.28,0,0,0,0,5.74,0
 60-70,0,0,17.67,1.96,0.98,0,0,66.74,0,0,0,0,3.93,0
 72-82,0.98,0,8.83,1.96,0.98,0.98,0,24.54,0,0,0,0,3.93,0
 84-94,0,0,3.19,0,1.06,0,0,15.93,0,0,0,0,3.19,2.12
 96-106,0,1.09,4.37,1.09,1.09,0,0,7.65,0,0,0,0,0,3.28
108-118,0,0,4.6,0,0,0,0,11.49,0,0,0,0,0,0
120,0,0,1.96,1.96,0,0,0,7.84,1.96,1.96,0,0,0,0
