stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,9.44,0,0,22.03,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,25,2,0,7,0,0,0,2,0,0,0,1,2,0,0,0,0,6,0,0,9,85,3,1,2,1,0,1,6,3,0,4,48,0,0,3,0,2
 24-34,0,0,1.64,0,10.67,0.82,0,19.7,0,0,0,7.39,0,0.82,3.28,2.46,4.1,0,0.82,0,21.34,32.83,0,0,15.6,353.79,1.64,5.75,3.28,0,0,4.93,0,8.21,2.46,2.46,80.44,0,0,9.85,0,9.85
 36-46,0,0,0,0,11.28,0,0,53.17,0,2.42,1.61,21.75,0.81,0,4.03,0.81,0.81,1.61,0,0,14.5,52.37,0,1.61,17.72,592.97,4.03,6.45,2.42,0,0,4.83,0.81,4.03,1.61,0,129.71,0,0,11.28,0,9.67
 48-58,0,0,0,0,2.3,0.57,0,101.56,0,0,4.59,36.72,0,0,0.57,6.89,0.57,0.57,1.15,0.57,13.2,61.97,0,0.57,10.33,506.1,2.87,5.16,1.72,0,0.57,4.02,0,1.72,1.15,0,98.69,0,0,5.74,0,13.77
 60-70,0,0,0,0,9.82,0,0,265.99,0,0.98,2.94,74.6,0,0,0.98,7.85,0.98,1.96,1.96,0,6.87,117.78,0,5.89,11.78,797,2.94,0,6.87,0,0,5.89,0,1.96,2.94,0,126.62,0.98,4.91,7.85,0.98,18.65
 72-82,0,0,1.96,0,11.78,4.91,0.98,190.44,0.98,1.96,3.93,83.44,1.96,0.98,2.94,10.8,0.98,1.96,0,0,5.89,133.51,0.98,9.82,8.83,656.73,0.98,6.87,5.89,0,0.98,8.83,0,2.94,1.96,0,61.84,0,3.93,25.52,2.94,11.78
 84-94,0,0,3.19,0,20.18,0,0,183.73,0,4.25,4.25,52.04,7.43,2.12,1.06,16.99,1.06,10.62,1.06,0,18.05,129.57,0,6.37,12.74,316.49,1.06,9.56,8.5,0,1.06,19.12,0,9.56,0,0,36.11,1.06,4.25,10.62,0,10.62
 96-106,0,0,1.09,0,16.39,2.19,0,135.51,1.09,1.09,3.28,54.64,4.37,0,6.56,18.58,4.37,9.84,3.28,4.37,7.65,89.61,0,1.09,3.28,299.44,3.28,7.65,15.3,0,2.19,10.93,0,4.37,1.09,0,20.76,0,1.09,18.58,4.37,14.21
108-118,0,0,0.77,0,16.09,0.77,3.06,111.06,0.77,6.13,1.53,47.49,6.89,0,3.06,24.51,3.83,13.79,3.83,3.83,14.55,85.79,0.77,3.83,6.13,347.75,3.83,2.3,9.96,0,1.53,16.09,0,4.6,1.53,0,15.32,2.3,0.77,18.38,3.83,18.38
120,0,0,1.96,0,31.36,1.96,0,78.39,1.96,3.92,3.92,35.28,7.84,0,3.92,29.4,1.96,5.88,0,3.92,3.92,76.43,1.96,3.92,5.88,395.88,3.92,1.96,7.84,0,1.96,7.84,0,3.92,0,0,13.72,1.96,1.96,5.88,3.92,5.88
