stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,28.32,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,7,3,0,2,0,0,1,0,0,0,0,0,0,0,8,0,4,64,2,0,1,1,0,0,13,0,0,7,36,0,0,0,0
 24-34,0,0,0.82,0,1.64,0.82,0,10.67,0,0,1.64,0,0,0,0,0,0.82,0,4.1,0,2.46,110.82,0,1.64,0.82,0,2.46,0,0,0,0,2.46,29.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,18.53,0.81,0,3.22,0,0,0,0.81,0,0,0,12.89,0,4.03,129.71,0.81,1.61,0,0,1.61,0.81,0,0,0,0,17.72,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,38.44,0,0,9.18,0,0.57,0.57,0,0.57,0.57,0,12.62,0.57,1.15,104.43,0,0.57,0,0,1.15,0,0,0,0,0,20.08,0,1.15,0,0
 60-70,0,0,0,0,0.98,0.98,0,67.73,0.98,1.96,8.83,0,0,0,0,0,0,0,14.72,0.98,2.94,106,0,0.98,0,0,0,0,0,0,0,0,22.58,0,0,0,0
 72-82,0,0,0.98,0,0,2.94,0,48.1,0,0,13.74,0,0,0.98,0,0,0,0.98,13.74,0.98,0,68.72,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0,0.98,0,0
 84-94,0,0,0,0,5.31,3.19,0,40.36,0,0,10.62,0,0,1.06,0,0,0,0,7.43,1.06,1.06,45.67,1.06,1.06,2.12,0,4.25,0,0,0,1.06,0,0,2.12,0,0,0
 96-106,0,0,0,0,3.28,2.19,0,27.32,0,0,5.46,0,0,3.28,0,0,0,1.09,8.74,1.09,0,27.32,0,2.19,1.09,0,3.28,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,3.06,3.06,0.77,21.45,0.77,0.77,1.53,0.77,0,2.3,0,0,0,0,8.43,0,3.06,52.85,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,1.96,0,19.6,1.96,1.96,9.8,0,1.96,0,1.96,0,0,0,5.88,0,0,19.6,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
