stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,mesenchyme,neural,otic,periderm,pronephros,spinal_cord,vasculature
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,3.22,0,0,0.81,0.81,0
 48-58,1.15,0,0.57,0,0.57,0,0,1.15,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,2.94,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,2.12,4.25,0,0,0,0,1.06
 96-106,0,1.09,1.09,0,0,1.09,0,2.19,1.09,0,0,1.09,0
108-118,0.77,0,0,0.77,0.77,0,0,0.77,0,0.77,0,0,0.77
120,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0
