stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,1.64,0,0.82,5.75,0,0,0,0,0.82,0,0,0,0,5.75,0,0,0,0,0
 36-46,0,0,1.61,0,0,1.61,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0,1.61,0,0,0.81,0,0,0,0,1.61,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0.57,1.72,0,0,0,0,1.72,0,1.72,0,0,3.44,0.57,0,0,0,2.87,0,0,0,0,2.3,0,0,0.57,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,2.94,0,0,0,1.96,0,0,0,0,10.8,0.98,2.94,7.85,0,0,0,0,1.96,0,0,0.98,0,2.94,0,0,0.98,0.98,0
 72-82,0,0,1.96,0,0,24.54,0.98,0,0,11.78,0,0,0,0,0,0,0.98,0,9.82,0,1.96,11.78,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0.98,2.94,1.96,0.98
 84-94,0,1.06,3.19,0,2.12,16.99,1.06,1.06,0,3.19,1.06,0,0,0,0,0,0,2.12,7.43,1.06,0,2.12,0,0,0,0,7.43,0,1.06,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,7.65,1.09,1.09,33.88,1.09,2.19,1.09,15.3,2.19,0,4.37,1.09,0,2.19,10.93,0,14.21,3.28,2.19,13.11,0,0,2.19,0,17.49,0,2.19,0,0,2.19,0,1.09,2.19,1.09,0
108-118,0,0,4.6,1.53,8.43,32.94,0.77,0.77,0,12.26,3.06,0,0,2.3,0.77,0,13.02,0,8.43,0.77,1.53,13.79,2.3,1.53,0.77,0,10.72,0,0.77,1.53,0,0.77,0.77,1.53,1.53,1.53,0
120,0,0,11.76,0,3.92,29.4,0,1.96,3.92,13.72,1.96,0,0,3.92,0,0,17.64,1.96,5.88,0,0,5.88,1.96,0,1.96,0,5.88,0,0,0,0,0,0,1.96,0,0,0
