stage,epidermis,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,5.26,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0.81,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,1.72,0.57,0,1.15,6.89,0,0,0,0,0
 60-70,0,1.96,0.98,0.98,2.94,8.83,0,0.98,0,0.98,0
 72-82,0,5.89,1.96,0,0.98,6.87,0,0,0,0,0
 84-94,0,4.25,0,0,0,7.43,0,0,0,0,1.06
 96-106,0,4.37,2.19,0,0,8.74,0,0,0,1.09,0
108-118,0,7.66,0,0,2.3,5.36,0,0,0,0.77,0
120,0,0,0,0,1.96,5.88,0,0,0,3.92,0
