stage,endocrine_pancreas,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,muscle,neural,presomitic_mesoderm,spinal_cord,taste,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,1.64,3.28,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,2.42,0,1.61,8.06,0,1.61,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,8.03,0,0.57,0,0
 60-70,0,0,0.98,0.98,0,0,1.96,0,0,11.78,0,4.91,0,0.98
 72-82,0,0,0,0.98,0,0,3.93,0.98,0,2.94,0,0,0,0
 84-94,1.06,0,2.12,0,0,1.06,3.19,0,1.06,2.12,0,0,1.06,0
 96-106,0,0,2.19,0,0,0,1.09,0,1.09,1.09,0,0,0,1.09
108-118,0.77,0,0,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,1.96
