stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,527.15,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.04,0,0,0,110.33,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,57.83,0,84.12,0,0,0,2.63,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,157.72,13.14,0,0,2137.14,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,78.67,0,6.29,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,195.11,12.59,0,0,1447.61,0,0,6.29,18.88,50.35,0,47.2,0,0,0,0,0,0
 14-21,0,2,0,4,276,30,0,12,0,0,0,2,5,1,0,0,29,1,2,0,105,6,0,197,94,0,12,190,9,0,18,0,995,5,248,2366,9,0,0,1,0,0
 24-34,0,0,0,1.64,96.04,4.93,0,9.03,29.55,1.64,4.1,1.64,3.28,1.64,1.64,0.82,74.7,0,18.88,0.82,240.51,13.95,0.82,198.65,162.53,0,21.34,123.13,0,0,25.45,0,5.75,0,129.7,600.05,16.42,0,0,3.28,0,0.82
 36-46,0,0,0,0,33.03,1.61,0,8.06,45.12,0.81,9.67,0.81,1.61,0,1.61,1.61,19.34,0.81,11.28,0,473.73,4.83,2.42,185.3,140.19,1.61,7.25,46.73,0,0,30.62,0,1.61,0,94.26,18.53,8.06,0,0,1.61,0,0
 48-58,0.57,0,0,0.57,34.43,0,0,16.07,24.1,0.57,13.2,5.16,0,1.15,1.72,0,8.61,0,8.03,0.57,631.19,6.89,0.57,131.98,99.84,1.15,4.02,41.89,0,0.57,25.82,0,0,0,47.05,0.57,13.2,0,0,1.15,0,0.57
 60-70,0,0,0,0,59.87,0,0,16.69,23.56,7.85,5.89,4.91,0,0,0.98,0.98,7.85,0,7.85,0,741.05,6.87,1.96,101.1,85.39,0,7.85,36.32,0,0,56.93,0,0,0,35.33,0,6.87,7.85,1.96,0,0,0.98
 72-82,0,0,0,0,52.03,4.91,0,39.27,13.74,2.94,14.72,12.76,2.94,1.96,2.94,0,21.6,1.96,15.71,0,807.91,13.74,3.93,137.43,74.61,0,13.74,62.83,0,0.98,97.18,0,0,0,13.74,0,3.93,29.45,3.93,2.94,4.91,0
 84-94,0,0,0,0,87.09,2.12,0,60.54,27.61,12.74,10.62,9.56,7.43,3.19,0,2.12,26.55,1.06,5.31,2.12,504.47,12.74,4.25,114.7,44.61,0,16.99,105.14,0,0,323.92,0,0,0,20.18,0,4.25,112.58,9.56,3.19,3.19,1.06
 96-106,0,0,2.19,0,88.52,3.28,1.09,31.69,39.34,17.49,8.74,7.65,9.84,0,0,3.28,32.79,0,13.11,3.28,437.14,12.02,4.37,120.21,72.13,1.09,18.58,133.33,1.09,3.28,234.96,0,0,1.09,12.02,0,0,157.37,3.28,3.28,2.19,2.19
108-118,0.77,0,0,0,88.09,2.3,0,11.49,36.77,24.51,7.66,5.36,9.96,0,3.06,1.53,51.32,3.06,11.49,3.06,353.87,19.15,1.53,101.87,58.21,0,16.09,93.45,0,1.53,288.77,0,0,0.77,22.21,0,3.06,181.53,3.06,0.77,0.77,0
120,0,0,0,0,72.51,0,0,19.6,45.08,13.72,7.84,7.84,3.92,0,0,0,25.48,1.96,11.76,1.96,225.38,5.88,0,94.07,54.87,0,15.68,60.75,0,1.96,246.93,0,1.96,0,5.88,0,1.96,72.51,1.96,0,0,0
