stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,melanocytes,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,16.42,0,0,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0,8.86,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,1.15,0,12.05,0,0,0,0
 60-70,0,0,0.98,2.94,0,0.98,0,0,0,0,0,3.93,0,35.33,0,0,0,0
 72-82,0,1.96,0,0.98,0,0,0.98,0,0,0,0,3.93,0,40.25,0,0,1.96,0
 84-94,0,5.31,0,2.12,0,1.06,0,1.06,0,0,2.12,0,0,92.4,0,0,0,0
 96-106,0,5.46,2.19,1.09,0,0,0,4.37,0,1.09,1.09,3.28,0,114.75,0,0,0,1.09
108-118,0,5.36,0.77,2.3,0.77,0.77,0,2.3,0.77,0,0,4.6,0,62.81,0.77,0,0,0
120,0,11.76,0,7.84,0,0,0,1.96,0,0,1.96,0,0,141.1,0,0,0,0
