stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,54,0,0,1,1,0,3,2,2,0,9,25,0,0,0
 24-34,0,0,0,0,4.1,0.82,0,8.21,0,0,0,3.28,0,0,0,0,0,0,0,0,4.93,0,0,5.75,71.41,0.82,1.64,0,0,0,8.21,0.82,4.93,0,1.64,18.88,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,14.5,0.81,0,0.81,4.03,0,0,0.81,0,0,0,0,0,8.86,0,0,1.61,55.59,0,0.81,0,0,0,4.83,0,4.83,0,0,12.89,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,16.07,0,0.57,0,2.87,0,0.57,0,0,0,1.15,0,0,5.16,0,0,1.15,60.25,0,0,0.57,0,0,2.3,0,3.44,1.15,0,9.75,0,1.72,0
 60-70,0,0,0,0,0,0,0,35.33,0,0,0,0,0,0,0,0.98,0.98,0.98,0.98,0,4.91,0,0,0,42.21,0,0,0,0,0,5.89,0,1.96,0,0,3.93,0,0,0
 72-82,0,0,0,0,0.98,0,0,22.58,0,0,0,4.91,0.98,0,0,0,0,2.94,0.98,0,5.89,0.98,0,0.98,37.3,0,2.94,0,0.98,0,0.98,0,0.98,1.96,0,3.93,0,0.98,0
 84-94,0,0,1.06,0,2.12,2.12,0,23.36,0,0,0,5.31,1.06,0,0,0,0,2.12,2.12,1.06,10.62,0,1.06,0,25.49,1.06,0,3.19,0,1.06,4.25,0,3.19,1.06,0,2.12,0,2.12,1.06
 96-106,0,0,1.09,0,1.09,2.19,0,20.76,0,0,0,6.56,1.09,0,2.19,0,0,9.84,1.09,0,3.28,0,1.09,0,18.58,1.09,2.19,0,0,0,4.37,0,5.46,0,0,0,1.09,0,0
108-118,0,0,1.53,0,0.77,0,0.77,19.15,0,0.77,0.77,6.13,3.83,0,2.3,0,0,4.6,0,0,3.83,0,0.77,2.3,27.57,0,1.53,0.77,0,0.77,2.3,0,4.6,0.77,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,3.92,0,1.96,0,9.8,7.84,0,5.88,1.96,0,5.88,0,0,0,0,0,0,15.68,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0
