stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,7.89,7.89,0,0,81.49,0,0,0,0,0,0
 10-12,0,12.59,22.03,0,0,3.15,0,0,0,0,0,0,0,84.97,18.88,0,0,550.72,0,34.62,0,9.44,3.15,0
 14-21,0,0,0,2,4,0,0,0,0,0,0,6,4,6,5,0,0,17,96,0,0,11,14,0
 24-34,0,0,0,0,0,0,0,2.46,0.82,0.82,0,3.28,4.1,0.82,1.64,0.82,0.82,0,0,0,0,12.31,4.93,0
 36-46,0,0,0,0,0,0,0.81,3.22,0,0,0,0,2.42,4.03,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,2.3,0,1.15,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,1.96,0,1.96,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,2.94,0,0,1.96,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,3.28,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0
