stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0
 24-34,0,4.1,0.82,0.82,0,0,0,0,0,0,0,0,0,0,67.31,0.82,2.46,9.03,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,157.91,3.22,0,9.67,0
 48-58,0,1.15,0,1.15,4.59,0,0.57,2.3,0,0.57,0,0.57,0.57,0.57,228.37,2.3,0.57,15.49,0
 60-70,0,2.94,0,0.98,16.69,0,0,2.94,0.98,0,0,0,0,0.98,201.21,0.98,1.96,17.67,0
 72-82,0,8.83,0,0,25.52,0,0,6.87,1.96,0,0,1.96,0,0,374.01,0,1.96,21.6,0
 84-94,0,9.56,0,1.06,8.5,0,0,1.06,2.12,0,1.06,1.06,0,0,96.65,0,0,1.06,0
 96-106,0,3.28,0,0,5.46,0,0,1.09,2.19,0,0,0,0,0,92.89,0,0,3.28,0
108-118,0,1.53,0,0,4.6,0.77,0,1.53,0.77,0,0,0.77,0,0,77.36,0,1.53,0.77,0.77
120,0,3.92,0,3.92,3.92,0,0,1.96,0,0,0,1.96,0,0,119.55,0,0,3.92,0
