stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0.82,0,0,0,0,0.82,0.82,0,0.82,2.46,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0.81,0,6.45,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,1.72,0.57,0,0.57,0,0,0,0,0,0,0,0.57,0.57,0,0,3.44,0.57,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,2.94,0,0,0,0,0,0,0,0.98,0.98,0.98,1.96,3.93,0,0,4.91,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,3.93,0,0.98,0,0,0,0,0,0,0,0.98,0,3.93,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 84-94,1.06,0,2.12,0,0,0,0,0,0,1.06,0,0,0,2.12,6.37,0,1.06,3.19,1.06,0,0,0,1.06,0,1.06,0,0
 96-106,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,3.28,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,3.83,0,0,2.3,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,13.72,0,0,0,0,1.96,0,0,1.96,0
