stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,34.17,0,26.29,0,2.63,63.09,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,488.94,28.92,0,0,162.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,28.32,0,3.15,50.35,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,446.87,34.62,0,0,122.73,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,16,7,16,0,0,0,3,1,0,2,0,0,0,0,1,0,15,0,0,15,275,4,2,0,0,0,0,15,0,1,22,111,0,0,4,0,1
 24-34,0,0,4.93,2.46,22.16,0.82,44.33,0,1.64,4.1,22.16,2.46,0,4.1,0,0,0.82,4.1,0,4.1,98.5,0,0,50.07,1443.89,5.75,7.39,14.78,0,0,2.46,0,1.64,2.46,9.85,423.56,0,0,43.51,0,2.46
 36-46,0,0,0,0,16.92,0.81,78.15,0.81,2.42,4.03,63.65,0,0,1.61,0,0,0,2.42,0,1.61,144.21,0,1.61,43.51,1942.47,4.03,8.06,10.47,0,0,5.64,0,1.61,1.61,0,480.98,0,0,29,0,33.84
 48-58,0.57,0,1.15,0,10.33,0,188.78,0.57,0.57,4.02,74.59,0,0,1.72,0,1.15,0,1.72,0.57,6.31,164.11,0,1.72,30.99,1626.74,1.72,7.46,7.46,0,1.15,1.15,0,1.15,0,0,368.38,0,1.15,14.92,0.57,78.61
 60-70,0,0,0.98,0,5.89,0.98,247.34,0,0,3.93,98.15,0,0,1.96,0.98,0.98,2.94,2.94,2.94,1.96,219.86,0,3.93,24.54,1561.6,0.98,4.91,7.85,0,2.94,3.93,0,0.98,0,0,249.31,0,1.96,11.78,2.94,63.8
 72-82,0,0,0,0,12.76,3.93,251.31,0.98,0,8.83,169.83,1.96,0,4.91,0,0.98,1.96,1.96,0,0.98,240.51,0.98,10.8,22.58,1144.62,0,12.76,10.8,0.98,2.94,1.96,0,2.94,0,0,138.41,2.94,5.89,14.72,8.83,50.06
 84-94,0,0,2.12,0,10.62,3.19,193.29,2.12,2.12,10.62,104.08,1.06,0,2.12,1.06,1.06,3.19,1.06,2.12,3.19,182.67,0,10.62,23.36,656.34,1.06,8.5,8.5,0,1.06,4.25,0,0,0,0,92.4,1.06,6.37,11.68,8.5,30.8
 96-106,0,0,3.28,0,27.32,6.56,158.46,0,2.19,7.65,106.01,0,0,1.09,2.19,4.37,6.56,2.19,3.28,0,194.53,1.09,6.56,15.3,519.1,1.09,6.56,19.67,0,3.28,4.37,0,0,0,0,48.09,1.09,4.37,26.23,15.3,21.86
108-118,0,0,0.77,0.77,18.38,1.53,104.17,0.77,0.77,6.89,84.26,2.3,0,0.77,0,0,5.36,1.53,0,1.53,132.51,1.53,7.66,11.49,570.64,1.53,6.13,16.09,0,3.83,3.06,0,0,0,0,34.47,0.77,2.3,14.55,4.6,26.04
120,0,0,0,0,15.68,0,103.87,0,0,7.84,76.43,0,0,1.96,1.96,0,5.88,3.92,0,0,109.75,0,1.96,19.6,546.78,0,3.92,15.68,0,1.96,3.92,0,1.96,0,0,27.44,1.96,5.88,13.72,3.92,1.96
