stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,21.75,0.81,2.42,0,0,0.81,0,0,0,11.28,0,0,0,0.81,0.81,0,0,0
 48-58,0,0,0,0,28.69,2.3,4.02,0,0,0,0.57,0,0,14.92,0,0,0,0.57,2.3,0,0,0.57
 60-70,0,0,0,0,45.15,13.74,0,0,0,0.98,0,0,0.98,18.65,0,0,0,0,7.85,0,0,1.96
 72-82,0,0,0,0,40.25,31.41,0.98,0,0,0,3.93,0,0.98,25.52,0.98,0,0,0,2.94,0,0.98,1.96
 84-94,0,0,0,0,40.36,30.8,0,0,0,0,6.37,0,0,11.68,0,0,0,0,3.19,1.06,1.06,2.12
 96-106,0,3.28,0,0,30.6,27.32,0,0,2.19,0,5.46,1.09,1.09,13.11,0,0,0,0,0,0,0,2.19
108-118,0,1.53,0.77,0,26.04,28.34,0.77,0.77,1.53,4.6,2.3,1.53,0,9.96,0,0,0,0,1.53,0.77,0,1.53
120,0,0,0,1.96,13.72,27.44,0,0,0,0,3.92,0,0,11.76,0,0,3.92,0,0,0,0,0
