stage,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,3,0,1,0,0,0
 24-34,1.64,0,0,0,0,0,2.46,0.82,0,0.82,0,0
 36-46,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0
 48-58,1.72,0,0,0.57,0.57,0.57,1.15,0,0,0,0,0.57
 60-70,2.94,0.98,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,1.96,0.98,0.98,0,0,0,2.94,0,0,0,0.98,0
 84-94,1.06,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,1.09,0,0,0,0,1.09,3.28,0,0,0,0,0
108-118,0,0,0,0,0,0,3.06,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
