stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,7.89,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,3.15,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,50,1,0,14,0,0,0,0,2,0,7,3,0,0,4,1,0,0,5,37,0,1,1,0,0,18,0,1,0,2,9,0,0,0,0,0
 24-34,0,0,0.82,0,105.89,3.28,0,28.73,4.1,0.82,0,0,0,0,26.27,2.46,0,0,6.57,9.03,0.82,0,5.75,60.74,0.82,1.64,1.64,0,0,13.95,0,0,0,0,13.13,0,0,1.64,0,0
 36-46,0,0,0,0,69.29,0,0,24.98,5.64,0.81,0,0,0,1.61,29.81,0,0,0,0,7.25,0.81,0,1.61,47.53,0,1.61,0,0,0,5.64,0,0,0,0,8.06,0,0,1.61,0,0.81
 48-58,0,0,0,0,60.25,0,0,90.09,17.21,0.57,8.61,0,0,0.57,43.04,0,0.57,0.57,0,14.92,0.57,0,3.44,43.61,0.57,1.15,0.57,0,0,1.72,0,0,0,0,9.75,0,0,3.44,0,0
 60-70,0,0,0,0,80.48,0,0,166.86,12.76,0,12.76,0,0,0,36.32,0.98,2.94,0.98,0,21.59,0.98,0.98,4.91,45.15,0,0,0,0,0,2.94,0,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0,74.61,0,0,137.43,18.65,4.91,9.82,1.96,0.98,0,71.66,1.96,2.94,1.96,0,48.1,2.94,0.98,2.94,49.08,0,0.98,1.96,0,0.98,1.96,0,0,0,0,4.91,1.96,0,5.89,1.96,0
 84-94,0,0,0,1.06,133.82,2.12,0,108.33,31.86,4.25,11.68,2.12,1.06,0,98.77,0,3.19,1.06,0,29.74,3.19,3.19,1.06,33.99,0,1.06,0,0,0,4.25,0,0,0,0,0,3.19,1.06,8.5,0,0
 96-106,0,0,0,0,102.73,1.09,0,76.5,18.58,3.28,6.56,10.93,0,0,119.12,1.09,1.09,3.28,1.09,34.97,1.09,1.09,5.46,25.14,0,4.37,0,0,0,5.46,0,0,0,0,0,1.09,1.09,9.84,1.09,0
108-118,0,0,0,0,113.36,0.77,1.53,65.11,29.11,1.53,5.36,9.19,0,0,89.62,2.3,4.6,4.6,0,39.06,0.77,0,1.53,26.81,0,3.06,1.53,0,0,5.36,0,0,0,0,2.3,1.53,0.77,6.13,1.53,0
120,0,0,0,1.96,111.71,1.96,0,39.2,19.6,0,1.96,7.84,0,0,96.03,0,0,1.96,5.88,27.44,1.96,0,0,29.4,0,1.96,3.92,0,0,3.92,0,0,0,0,0,1.96,0,17.64,0,0
