stage,axial,blastomeres,eye,fast.muscle,glial,immune,liver,mesenchyme,muscle,neural,notochord,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,2.42,1.61,1.61,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,2.87,1.15,3.44,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.93,0,0.98,6.87,0,6.87,1.96,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0.98,0,0.98,17.67,0.98,5.89,0,1.96,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,0,14.87,0,8.5,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,29.51,0,2.19,0,2.19,0,0,0,0,0,0,2.19,0
108-118,0,0,0.77,0,0,22.98,1.53,1.53,2.3,0,0,0,0,0,0,0,1.53,0
120,1.96,0,1.96,0,0,29.4,0,1.96,0,0,0,0,0,0,0,0,0,1.96
