stage,epidermis,eye,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,0,0,2,0
 24-34,0,0.82,0,0,0,0,0.82,10.67,0,0,0
 36-46,0,0,0,0,0,0,0.81,13.7,0,3.22,0
 48-58,0,2.3,0,0,0,0,0,12.62,0,1.72,0
 60-70,0,5.89,0,1.96,0,0,0,13.74,0,3.93,0
 72-82,0,14.72,0,5.89,0,0.98,0,25.52,0,0,0.98
 84-94,1.06,15.93,0,0,0,4.25,0,5.31,0,1.06,0
 96-106,1.09,8.74,1.09,0,1.09,0,0,5.46,0,0,0
108-118,0,9.96,0,0,0,0,0,3.06,0,0,0
120,0,5.88,0,1.96,0,0,0,9.8,1.96,0,0
