stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,2,0,1,1,0,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0,1.64,0,25.45,0,0,0,0,0,1.64,0,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,0,0,6.45,0.81,1.61,0.81,0,0,0,0,0,0,0,0,2.42,0,44.31,0,0,0,0.81,0,0.81,0,0.81,0,8.86,0,0.81,0,0
 48-58,0,0,0,0.57,0,5.74,0,0,1.72,0,0,0,0,0,0,0,0.57,3.44,0.57,51.07,0,0,0,0,0,1.72,0,0,0,10.9,0,0.57,0,0
 60-70,0,0,0,0,0.98,8.83,0,0.98,4.91,0,0,0,0,0,0,0,0,4.91,0,61.84,0.98,0,1.96,0,0.98,1.96,0,0,0,10.8,0.98,0,0,0
 72-82,0,0,0,0.98,0,15.71,0,0,7.85,0,0,0.98,0,0,0.98,0,0,15.71,0,53.01,0,0,0.98,0,0,1.96,0,0,0,1.96,0,2.94,0,0
 84-94,0,0,0,3.19,0,6.37,0,0,0,0,0,0,0,0,1.06,0,0,4.25,1.06,19.12,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,0,4.37,0,0,4.37,2.19,0,3.28,0,0,0,0,0,1.09,0,19.67,0,2.19,0,0,0,2.19,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,0,8.43,0,0,1.53,0,0,0,0,1.53,0,0,0,3.83,0,17.62,0.77,0,0,0,0,2.3,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,11.76,0,0,3.92,1.96,0,0,1.96,0,0,0,0,5.88,0,33.32,1.96,3.92,3.92,0,0,5.88,0,0,0,0,0,0,0,0
