stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,202.28,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,5.26,0,0,0,0,0,0,0,39.43,2.63,0,0,57.83,0,0,0,0,0
 10-12,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,56.65,12.59,0,0,88.12,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,1,0,1,0,2,1,20,0,0,0,1,0,6,2,9,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0.82,0,10.67,0,0,0.82,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0,3.83,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,3.92,0,0,0,0
