stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,1,0,0,0,0
 24-34,1.64,0.82,0,6.57,0,0,0,0,0,0,5.75,0,0,0,4.1,2.46,0.82,1.64,18.88,0,0.82,0,85.37,0,0.82,0,1.64,0
 36-46,1.61,0,0,0.81,0,0.81,0,0,0,0.81,6.45,0,0,0.81,1.61,1.61,0,0,4.03,0,2.42,0,106.35,0,0.81,0,0,0
 48-58,7.46,0,0,1.72,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0,0,5.74,0,0,0,37.3,0,0.57,0,0,0
 60-70,13.74,0,0,10.8,0,0,0,0,0,1.96,1.96,0,1.96,1.96,2.94,0,0,0,29.45,0.98,0.98,0,65.76,0,2.94,0,0,0
 72-82,8.83,0,0,4.91,0,0,0,0,0.98,5.89,3.93,0,1.96,0,1.96,0,0,0,34.36,0,0,0,7.85,0,0.98,0.98,0,0.98
 84-94,18.05,0,0,3.19,1.06,3.19,0,1.06,1.06,4.25,20.18,0,2.12,0,0,1.06,0,0,22.3,0,1.06,0,26.55,0,1.06,0,0,0
 96-106,37.16,2.19,0,8.74,0,4.37,1.09,1.09,6.56,18.58,28.41,1.09,3.28,0,3.28,3.28,0,0,16.39,0,5.46,1.09,168.3,0,0,0,2.19,1.09
108-118,36.77,0,0.77,1.53,0,9.96,0,1.53,4.6,29.11,20.68,0.77,1.53,1.53,2.3,3.06,0,0,23.74,0.77,3.83,0,92.68,0,0,0,0,0
120,15.68,1.96,0,1.96,0,7.84,0,1.96,5.88,27.44,1.96,0,1.96,1.96,1.96,0,0,1.96,31.36,0,3.92,0,43.12,0,0,0,0,0
