stage,blastomeres,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,periderm,pronephros,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,43.51,0,0,0
 36-46,0,0.81,0.81,0,0,0,0.81,0,0,0.81,0.81,37.06,0,0.81,0
 48-58,0,0.57,0.57,0,0,0,1.15,0,0,0.57,1.15,15.49,0,0,0
 60-70,0,1.96,0,0,0,0,0,0,0,0,0.98,23.56,0,0,0
 72-82,0,3.93,0,0,0,0.98,0.98,0,0.98,0.98,0.98,19.63,0,0,0.98
 84-94,0,6.37,0,0,0,0,0,1.06,0,2.12,0,33.99,0,0,0
 96-106,0,8.74,0,0,0,0,2.19,0,0,0,2.19,40.44,0,0,0
108-118,0,3.83,0,0.77,0.77,0.77,0,0.77,0,0.77,0,19.15,0,0,0.77
120,0,9.8,0,0,1.96,1.96,0,0,0,0,0,25.48,1.96,0,0
