stage,epidermis,eye,glial,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0.82,21.34,1.64,0,0,0,0,7.39,0,0,0.82,0,0
 36-46,1.61,1.61,0,0.81,0,0,0,1.61,0,0,0,24.17,1.61,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,3.44,1.15,0,0,0,0,2.87,0,0,0,36.72,1.15,0,0,0,0,10.33,0,0,0.57,0,0.57
 60-70,0,8.83,2.94,0,0,0,0,5.89,0.98,0,0,72.63,0.98,0,0,0,0,11.78,0,0,0.98,0,0
 72-82,0.98,13.74,14.72,0,0,0,0.98,7.85,0,0,0,70.68,1.96,0,0,0,0,8.83,0,0,0,1.96,0
 84-94,2.12,6.37,11.68,1.06,1.06,0,0,4.25,0,1.06,1.06,25.49,3.19,0,0,0,0,3.19,0,0,0,0,2.12
 96-106,1.09,5.46,15.3,0,0,1.09,0,2.19,0,0,0,41.53,3.28,0,1.09,0,0,5.46,0,0,2.19,1.09,0
108-118,1.53,8.43,19.15,0.77,0,0,0,4.6,0,0,0,36,1.53,0.77,0.77,0,0,1.53,0.77,0.77,0,0,0.77
120,3.92,5.88,19.6,0,1.96,0,0,5.88,0,0,0,39.2,1.96,0,0,1.96,0,1.96,0,0,0,0,0
