stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,26,14,0,0,0,0,0,8,1,2,0,0,2,0,0,0,0,0
 24-34,0,0,3.28,0.82,0,3.28,0,0,4.1,0.82,0,0,0,0,0,0,0,0.82,0,253.64,0,0,75.52,32.83,0,1.64,0.82,0,0,3.28,1.64,0.82,0,0.82,3.28,0,0,0,0,0
 36-46,0,0,1.61,0.81,0,5.64,0,0.81,16.92,2.42,0,2.42,0,0,0,0,0.81,0.81,0,437.48,0,0,141.8,45.92,0,0.81,0.81,0,0,6.45,0,0,0.81,0,6.45,0,0.81,0,0,0
 48-58,0,0,28.12,1.72,0,33.85,0.57,2.3,32.13,5.74,0,18.94,0.57,0.57,0.57,0,0,0.57,1.15,608.81,0,1.72,127.38,93.53,0,1.15,0.57,0,0,2.3,0,0,0,0,20.08,0,0.57,1.15,0,0
 60-70,0,0.98,84.41,0.98,0,56.93,0.98,1.96,28.46,12.76,3.93,7.85,0.98,0,0,1.96,0,0.98,0,759.7,0.98,0.98,109.93,106.99,0,0.98,0,0,1.96,3.93,0,0,0,0,8.83,0,7.85,0.98,0,0.98
 72-82,0,0,188.48,6.87,0,104.06,1.96,11.78,67.73,23.56,3.93,10.8,0.98,1.96,0.98,0,0.98,0.98,0.98,948.29,3.93,5.89,121.73,130.56,0,0.98,3.93,0,3.93,6.87,0,0,0.98,0,7.85,2.94,15.71,1.96,7.85,5.89
 84-94,0,0,457.74,3.19,0,125.32,1.06,13.81,47.79,20.18,4.25,19.12,0,1.06,10.62,2.12,1.06,1.06,0,707.32,5.31,11.68,106.2,45.67,1.06,0,0,0,3.19,5.31,0,1.06,0,0,3.19,2.12,7.43,4.25,4.25,1.06
 96-106,0,2.19,721.28,10.93,4.37,132.23,2.19,61.2,54.64,24.04,8.74,1.09,5.46,12.02,14.21,2.19,4.37,9.84,0,874.28,19.67,38.25,108.19,169.39,2.19,5.46,3.28,0,12.02,43.71,0,3.28,0,0,4.37,4.37,14.21,6.56,9.84,3.28
108-118,0,0.77,860.18,5.36,2.3,74.3,0,98.81,45.19,19.15,9.19,0,1.53,3.83,12.26,1.53,3.06,3.06,0,951.33,5.36,13.79,85.02,131.75,0.77,3.83,1.53,0,26.81,13.02,0,1.53,0.77,0,5.36,3.06,13.02,3.06,3.83,0.77
120,0,0,672.21,1.96,1.96,54.87,0,82.31,47.03,9.8,11.76,0,1.96,3.92,13.72,1.96,3.92,1.96,0,885.82,7.84,31.36,66.63,131.31,0,3.92,3.92,0,21.56,5.88,0,3.92,0,0,5.88,5.88,11.76,3.92,11.76,3.92
