stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,6,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0.82,5.75,0,0.82,0,0,0,0,2.46,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0.81,4.83,1.61,0,0,0,3.22,0,0,0
 48-58,0,0,0,1.15,3.44,0,3.44,0.57,0,0.57,0,0,2.87,0,1.72,0.57,0,0,0,0.57,0,1.15,0.57
 60-70,0,0,0,0,3.93,0,3.93,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,1.96,0.98,0.98,9.82,0,0,1.96,0,0.98,0,0,0.98,1.96,0,0,0,0.98,0,0,0
 84-94,1.06,0,0,1.06,2.12,0,4.25,0,1.06,0,0,0,1.06,0,0,3.19,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,1.09,1.09,0,4.37,0,2.19,3.28,0,1.09,3.28,0,4.37,2.19,0,0,1.09,3.28,0,1.09,0
108-118,0,0,0,0,1.53,0,6.13,0,2.3,0,0.77,0,0.77,0,4.6,0.77,0,0,0,0.77,0,0,0
120,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,3.92,0,5.88,0,0,0,0,0,1.96,0,0
