stage,blastomeres,epidermis,eye,fin.epithelia,immune,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,paraxial.mesoderm
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15
 14-21,0,4,0,0,0,0,0,1,0,0,0,0
 24-34,0,4.1,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,3.22,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,1.72,0,3.44,0,0,0.57,0,0,0.57,0,0
 60-70,0,6.87,0,1.96,0,0,0,0,0.98,0,0,0
 72-82,0,3.93,0,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,6.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,5.46,0,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,3.83,0,0.77,0,0,1.53,0,0,0
120,0,5.88,0,0,0,0,0,0,0,0,0,0
