stage,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,spinal_cord,taste,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0
 24-34,0,0,1.64,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,5.75,0,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0,10.47,0.81,0,0,2.42,0,0
 48-58,0,0,0,1.15,0.57,0,0.57,0,0,1.72,0,0,0.57,1.72,0.57,0,1.15,7.46,0,0,0,1.15,0,0
 60-70,0,0,0.98,6.87,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0,11.78,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,1.96,3.93,0,0.98,0,0,0.98,6.87,0,0,0,11.78,0.98,0.98,0.98,0.98,0,0.98
 84-94,0,0,0,0,0,0,1.06,6.37,0,3.19,0,1.06,0,1.06,0,0,0,4.25,0,1.06,1.06,0,0,2.12
 96-106,0,0,3.28,3.28,0,1.09,1.09,14.21,1.09,7.65,0,1.09,0,2.19,0,0,0,8.74,0,1.09,2.19,1.09,1.09,0
108-118,1.53,0,2.3,1.53,0,0,0.77,10.72,0,2.3,0.77,0,0.77,3.83,0,0.77,0.77,3.83,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,35.28,0,7.84,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0
