stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,3,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,8.21,0,0,0,87.01,0,0,0.82,0,0,0.82,0
 36-46,0,0,0.81,0,1.61,0,0.81,1.61,0,0,0.81,0,0,0,0.81,0,7.25,0.81,0,0,101.51,0,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,5.16,0.57,0,1.15,1.72,0.57,0.57,0.57,0,1.15,0.57,0,9.75,0.57,0.57,0,80.91,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0.98,0.98,0,0,0,0,0,0.98,0,0,4.91,0,0,0,108.95,0,0,0.98,0,0.98,0,0
 72-82,0,0,2.94,0.98,0.98,0,0,0.98,0,0,0,0,0,0,1.96,0.98,7.85,0,0.98,0,55.95,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,4.25,0,4.25,1.06,0,0,2.12,0,0,0,2.12,0,1.06,0,0,0,210.28,1.06,0,0,0,0,0,0
 96-106,0,0,12.02,1.09,2.19,0,1.09,2.19,0,3.28,3.28,0,1.09,2.19,1.09,0,3.28,0,0,0,177.04,0,1.09,0,0,0,0,0
108-118,0,0,6.13,0.77,3.06,0,5.36,0,0,3.83,2.3,0,0,0.77,1.53,0,5.36,0.77,0,0,97.28,0,0,0,0.77,0,0,0.77
120,0,0,3.92,0,5.88,0,3.92,1.96,0,3.92,1.96,1.96,0,0,1.96,0,5.88,0,0,0,72.51,0,0,0,0,0,0,0
