stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,5,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
 24-34,0,0,4.1,22.16,0,0.82,0,0,0.82,0,0,0,0,0,1.64,0.82,0,0,0,0,0,4.1,4.1,0,0,0,0.82,22.98,0,0.82,0
 36-46,0,0,0,5.64,0,0.81,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,1.61,22.56,0,0,0,1.61,33.84,0,0,0
 48-58,0,0,0,3.44,0,0.57,0.57,0,1.15,1.72,0,0,0,0,0,0,0,0.57,0,0,0,7.46,26.4,0,0,0,0,36.15,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,2.94,0,0,0,0,0,7.85,0,0,0,0,0,1.96,25.52,0,0,0,0,39.26,0,0,0
 72-82,0,0,0,1.96,0,4.91,0,1.96,2.94,19.63,0,0,0,0.98,0,118.78,0,4.91,0.98,0,0,20.61,20.61,0.98,0.98,0,0,70.68,0,0.98,0.98
 84-94,0,0,0,5.31,1.06,3.19,1.06,0,0,35.05,0,0,1.06,0,0,363.22,0,1.06,1.06,0,0,11.68,36.11,0,0,0,2.12,148.69,1.06,0,0
 96-106,1.09,0,0,8.74,1.09,15.3,1.09,0,7.65,30.6,1.09,3.28,0,0,2.19,606.53,1.09,9.84,1.09,1.09,0,60.11,27.32,0,1.09,0,4.37,158.46,1.09,1.09,2.19
108-118,0,0,0,1.53,0.77,9.96,1.53,0,3.06,32.17,0.77,2.3,0,0,0.77,1209.46,0,6.13,0,1.53,0,60.51,36,0,0,1.53,3.83,144,0,0.77,0
120,0,0,0,1.96,0,3.92,0,0,1.96,9.8,0,0,0,1.96,0,552.66,0,1.96,0,1.96,5.88,25.48,31.36,0,0,0,0,96.03,0,1.96,0
