stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0
 24-34,5.75,0,0,5.75,0,0,0,0,0.82,2.46,18.88,0.82,0,0,0.82,9.85,0,0,1.64,41.04,0,0,0.82,0.82,0,0,1.64,9.85,0,2.46,0,0
 36-46,2.42,0,0,3.22,0,0.81,0,0.81,0,4.83,16.92,0,0,1.61,0,12.89,0.81,0,0.81,23.36,0,0,0,0,0,0,0,4.83,0,0.81,0,0
 48-58,1.15,0,0,1.15,0,0,0,1.15,0,1.15,26.97,0,0,0,0,8.03,0,0,0,17.21,0.57,0,0,0,1.15,0,0,1.72,0,0,0,0
 60-70,0,0,0,6.87,0,1.96,0.98,1.96,0.98,0,58.89,0,0,0,0,10.8,0,0.98,0,32.39,0,0,0,0,1.96,0,0,1.96,1.96,0.98,0,0
 72-82,0.98,0,0,12.76,0,0,0,2.94,0,0.98,73.62,0,0,0,0,10.8,0,0,1.96,33.38,0,0,0.98,0,1.96,0,0,0.98,0.98,0.98,0,0
 84-94,2.12,1.06,0,13.81,0,3.19,0,3.19,0,3.19,111.51,1.06,0,0,0,3.19,1.06,3.19,0,23.36,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0
 96-106,6.56,1.09,0,16.39,0,4.37,0,1.09,0,0,151.91,3.28,0,0,0,9.84,0,0,0,24.04,0,1.09,1.09,1.09,3.28,1.09,0,0,0,2.19,0,0
108-118,3.06,0.77,1.53,20.68,0.77,1.53,0,2.3,0,0,113.36,0.77,0.77,0,0,6.13,0,0,0,23.74,0,0.77,0,0,1.53,0.77,0,0,1.53,0.77,0,0.77
120,3.92,1.96,0,7.84,0,0,0,3.92,0,0,168.54,3.92,0,0,0,3.92,0,1.96,0,15.68,0,1.96,0,0,0,0,0,0,0,0,1.96,0
