stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,448.05,7643.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,300.35,3224.19,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,30.65,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,181.38,5.26,0,0,47.32,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,3.15,0,22.03,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,254.9,3.15,0,0,25.18,0,6.29,12.59,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,4,24,1,0,14,0,0,3,3,3,0,0,3,0,0,0,6,0,0,9,209,6,0,5,2,0,36,1,4,2,1,69,0,0,1,0,0
 24-34,0,0,2.46,4.93,11.49,1.64,0,25.45,1.64,0.82,9.03,0.82,0,0.82,0,1.64,0,2.46,0.82,9.85,4.1,0.82,4.93,240.51,3.28,4.93,9.03,0,0,29.55,0,0,5.75,0.82,65.67,0,0,7.39,0,0
 36-46,0,0,0.81,0,2.42,0,0,24.98,0,0,13.7,0.81,0,2.42,0.81,0.81,0,3.22,0,16.92,3.22,0.81,3.22,182.08,0,5.64,5.64,0,0,23.36,0.81,0,5.64,0,44.31,0,0.81,2.42,0,1.61
 48-58,0,0,0,0,2.3,1.15,0,23.53,0,0,14.92,0.57,0.57,0,0,0,0,1.72,0.57,28.12,3.44,1.15,1.72,57.38,1.72,0.57,4.59,0,0.57,18.36,0,0,1.15,0,16.64,0,0.57,3.44,0,0
 60-70,0,0,0,0,5.89,0,0,22.58,2.94,0.98,22.58,1.96,0,0.98,1.96,0,0,4.91,0,43.19,1.96,0.98,3.93,67.73,0,1.96,11.78,0,0,11.78,0,0,0,0,5.89,0.98,0.98,0.98,0,0.98
 72-82,0,0,2.94,0,2.94,2.94,0,19.63,0,0.98,34.36,4.91,0.98,0.98,0,2.94,0.98,6.87,1.96,50.06,3.93,0.98,4.91,62.83,0,1.96,8.83,0,0.98,20.61,0,0,0,0,3.93,1.96,1.96,7.85,1.96,0.98
 84-94,0,0,3.19,1.06,8.5,0,2.12,19.12,2.12,2.12,23.36,10.62,1.06,2.12,5.31,2.12,1.06,5.31,1.06,43.54,4.25,1.06,2.12,46.73,0,3.19,14.87,0,0,55.23,0,0,2.12,0,4.25,2.12,3.19,6.37,3.19,0
 96-106,0,0,2.19,0,26.23,2.19,1.09,18.58,0,2.19,21.86,15.3,1.09,2.19,2.19,2.19,1.09,7.65,1.09,31.69,4.37,1.09,2.19,38.25,0,5.46,18.58,0,0,45.9,1.09,0,1.09,0,4.37,2.19,0,4.37,0,0
108-118,0,0,6.13,0,16.09,3.06,9.19,6.89,3.06,2.3,17.62,17.62,0.77,1.53,3.83,6.13,3.83,3.06,4.6,34.47,3.83,0.77,4.6,58.21,1.53,2.3,20.68,0,0.77,37.53,0,0,3.06,0,0,1.53,0.77,3.06,0,0
120,0,0,0,0,19.6,5.88,3.92,7.84,1.96,1.96,7.84,17.64,0,0,3.92,5.88,0,3.92,1.96,13.72,1.96,1.96,7.84,54.87,0,1.96,13.72,0,0,45.08,0,0,1.96,0,0,1.96,0,3.92,3.92,0
