stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,13.14,0,0,31.54,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,170.87,10.51,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,6.29,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,242.32,9.44,0,0,69.23,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,15,5,7,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,7,79,0,0,1,2,0,0,10,1,11,25,0,0,1,0,0
 24-34,0,0.82,0,4.1,0.82,22.98,0,0,0,7.39,0,0,0,0,0,0.82,0,0,17.24,0,0,7.39,269.24,1.64,0,0.82,0,0,0.82,0,0,1.64,65.67,0,0,6.57,0,0
 36-46,0,0,0,1.61,0,21.75,0,0,0,8.86,0,0,0.81,0,0,0,0,0,12.89,0,0.81,1.61,112.79,0.81,0,0,0,0,1.61,0,0,0,19.34,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,33.28,0,0,0,13.77,0.57,0,0,0,0,0,0,0,8.03,0,1.15,1.72,98.69,0,0,0,0,0,0,0,0,0,22.95,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,67.73,0,0,1.96,22.58,0,0,0.98,0,0,0.98,0,0,31.41,0,1.96,2.94,155.08,0.98,0.98,0,0,2.94,0.98,0,0,0,23.56,0,0,1.96,0,0.98
 72-82,0,0,0.98,0.98,0.98,50.06,0,0,0.98,19.63,0.98,0,0,0,1.96,0,0,0,16.69,0,0.98,0.98,106.02,0,2.94,2.94,0,0.98,0.98,0,0,0,9.82,0,1.96,0.98,0.98,0
 84-94,0,0,0,1.06,0,36.11,0,0,0,13.81,0,0,2.12,0,0,0,0,0,22.3,0,1.06,3.19,48.85,0,3.19,2.12,0,0,1.06,0,0,0,4.25,1.06,1.06,3.19,0,1.06
 96-106,0,0,0,0,0,45.9,1.09,1.09,1.09,16.39,0,0,1.09,0,1.09,0,2.19,1.09,22.95,0,0,1.09,72.13,0,0,2.19,0,0,2.19,0,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0,2.3,0.77,27.57,0,0,0.77,14.55,2.3,0,0,0,1.53,0.77,0,0,15.32,0,0.77,2.3,63.57,0,0.77,0.77,0,0.77,1.53,0,0,0,1.53,0,0,0,0,0.77
120,0,0,0,0,0,15.68,0,1.96,0,7.84,0,0,0,1.96,0,0,1.96,0,5.88,0,0,5.88,52.91,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
