stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,9,4,4,2,0,1,0,0,0,2,7,0,0,0,0,0,1,0,1,1,0,2,37,0,0,0,1,0,0,1,25,0,1,28,0,0,0,0,0
 24-34,0,11.49,9.85,1.64,0,0,0.82,0,0,0,11.49,7.39,0.82,0,0,0,0,13.13,0,3.28,0,0,0.82,21.34,0,0.82,0,0,0,0,0,73.06,0,0,18.88,0,0,0,0,0
 36-46,0,6.45,0.81,0,0,0,0,0,0.81,0,14.5,8.86,0,0,0,0,0,18.53,0.81,3.22,0,0,0.81,6.45,0.81,0,0,0,0,0,0,49.15,0,0,9.67,0,0,0,0,0
 48-58,0,6.89,0.57,1.72,0,0,1.72,0,0,1.72,9.75,11.48,0,0,0,0,0,16.07,0,5.16,0,0,1.15,10.9,0,0,0,0,0,1.15,0,34.43,0,0,4.02,0,0,0,0,0.57
 60-70,0,12.76,0,0,0,0.98,3.93,0.98,0,0,2.94,42.21,0,0,0,1.96,0,21.59,0,4.91,0,0,0,3.93,0.98,0,0,0,0,0,0,36.32,0,0,1.96,0.98,0,0.98,0,0
 72-82,0,46.14,1.96,2.94,0,4.91,9.82,0,1.96,0,10.8,136.45,0,0,0,0,0,62.83,0,11.78,0,0,0,23.56,0,0,0.98,0,0,0,0,54.97,0,0,0.98,1.96,0.98,0,0.98,0
 84-94,0,36.11,6.37,2.12,0,3.19,6.37,0,0,1.06,8.5,266.57,2.12,0,0,0,1.06,208.16,0,7.43,0,0,0,19.12,0,0,0,0,0,0,0,120.01,0,0,2.12,4.25,0,1.06,2.12,0
 96-106,0,43.71,15.3,4.37,2.19,3.28,8.74,0,0,1.09,3.28,398.89,0,0,2.19,1.09,0,227.31,0,8.74,0,0,0,52.46,0,2.19,0,0,1.09,3.28,0,108.19,1.09,0,1.09,6.56,0,1.09,3.28,2.19
108-118,0,27.57,13.02,3.06,0.77,13.79,4.6,0,0,0,1.53,451.92,0,1.53,0,0,0,376.85,0,4.6,0,0.77,1.53,57.45,0,1.53,0,0,0,1.53,0,104.17,0.77,0,0.77,5.36,0,0.77,0.77,0
120,0,19.6,0,3.92,0,5.88,3.92,0,1.96,0,1.96,262.61,0,0,0,1.96,0,145.02,0,5.88,0,0,3.92,48.99,0,0,0,0,0,1.96,1.96,58.79,1.96,0,0,0,0,0,0,0
