stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,8.21,0,0,0,0,0,0.82,0.82,5.75,0,0,0,0,0,0.82,0,0,0.82,5.75,0.82,0.82,0.82,0,0,1.64,0,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0.81,9.67,0,0,0,0,0.81,0,0,0,1.61,12.09,0,0,0,0,0,0.81,1.61,0,0.81,0.81,0,0,0,0,1.61
 48-58,0,0,1.72,0,1.15,0,0,0,0,0,17.79,0,0,0,0,0.57,2.87,0,0,0.57,2.3,0.57,1.15,0,0,0,4.02,0,0,0,0,0,0,0.57,0,1.15
 60-70,0,0,2.94,0,0,4.91,0,1.96,2.94,0,19.63,1.96,0,0,0,0,5.89,0,0,0,3.93,0,0.98,0,0,0,6.87,0,0,0,0.98,0,0,0.98,0,1.96
 72-82,0,0.98,1.96,1.96,2.94,0,0,0,0,0,46.14,0.98,0.98,0.98,0,0,10.8,1.96,0.98,0,2.94,0,0,0,0,0.98,8.83,0,0,0,1.96,0,0,9.82,0.98,0.98
 84-94,0,0,5.31,3.19,0,3.19,0,0,2.12,0,75.4,1.06,1.06,2.12,1.06,1.06,16.99,0,3.19,0,6.37,1.06,2.12,0,0,1.06,25.49,0,0,1.06,0,2.12,0,8.5,0,1.06
 96-106,0,0,12.02,2.19,5.46,1.09,0,0,3.28,0,97.26,1.09,1.09,0,4.37,2.19,13.11,1.09,5.46,3.28,8.74,0,3.28,0,0,1.09,36.06,0,0,0,0,2.19,0,15.3,3.28,1.09
108-118,0,0,17.62,1.53,2.3,8.43,1.53,2.3,4.6,0,85.79,6.13,1.53,1.53,2.3,2.3,22.21,0.77,3.06,3.06,12.26,0.77,0.77,1.53,0,1.53,52.09,0,0,0.77,0,5.36,0.77,3.83,0.77,2.3
120,0,0,15.68,0,0,3.92,0,0,0,0,94.07,3.92,0,0,0,0,21.56,3.92,1.96,0,3.92,0,1.96,0,0,0,62.71,0,0,0,1.96,0,3.92,5.88,0,1.96
