stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,1,0,0,4,3,0,0
 24-34,0,3.28,0.82,0.82,0,0.82,0,0,0,0,0,0,3.28,0,1.64,25.45,0.82,0.82,0,3.28,0,0.82,0,0,9.85,0.82,0
 36-46,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,2.42,0,0.81,17.72,0,0,0,2.42,0,0,0,0,2.42,0.81,0
 48-58,0,1.15,0.57,2.87,0,0,0.57,0,0,0,0,0,2.87,0,0.57,4.02,0,0,0,1.15,0,0,0.57,0,1.15,0.57,0
 60-70,0,0.98,0.98,2.94,0,1.96,0.98,0.98,0,0,0,0,2.94,0.98,0,8.83,0,0,0,5.89,0,0,0.98,0,1.96,0,0
 72-82,0,0.98,0,5.89,0,0.98,0,0,0,0,1.96,0,0.98,0,0,7.85,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0,0,4.25,0,2.12,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,2.3,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,0
