stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,737.96,10581.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,1342.39,19093.81,42.91,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,551.67,85.81,0,0,196.15,0,245.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,239.21,344.36,488.94,0,0,1069.89,0,0,0,0,0,333.85,0,0,0,0,0,0,0,0,0,0,0,10930.19,270.76,0,0,3940.44,0,15.77,13.14,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,147.91,217.14,0,18.88,465.75,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,3493.14,59.79,0,0,1840.98,0,3.15,50.35,3.15,147.91,0,0,0,0,0,0,0,0
 14-21,0,1,17,121,38,164,0,0,0,52,4,1,0,0,0,1,0,1,0,106,0,0,84,2326,30,2,14,127,0,3,11,286,7,1,150,692,0,0,4,0,0
 24-34,0,0,5.75,46.79,3.28,192.9,0,1.64,3.28,22.16,6.57,0,2.46,0.82,0,0.82,0,4.1,0.82,143.65,0.82,0,73.06,1234.57,1.64,7.39,15.6,0.82,0,6.57,0.82,0.82,1.64,0,16.42,286.48,0,0,11.49,0,0.82
 36-46,0,0,0,7.25,0,109.57,0.81,0.81,4.83,19.34,0.81,0,4.03,0,0,0,0,0.81,1.61,110.38,0,1.61,33.03,470.51,0.81,0.81,3.22,0,0,4.83,2.42,0,0.81,0,0,97.49,0,0,4.83,0,0
 48-58,0,0,0,4.02,0,77.46,0,0,8.03,16.07,0,0,0.57,0,0,0.57,0,0.57,0.57,84.92,0.57,0.57,15.49,146.32,0,1.15,1.72,0,0,1.15,0.57,0,0,0,0,18.36,0,0,0.57,0,0
 60-70,0.98,0,0,6.87,0,49.08,0.98,0.98,9.82,47.11,0.98,0,0,0,0,0,0,0,0,76.56,0,1.96,18.65,85.39,0,0.98,0.98,0,0,1.96,0.98,0,0,0,0,7.85,0,0.98,0,0,1.96
 72-82,0,0,0,5.89,0,42.21,0,1.96,31.41,56.94,0,0,0.98,0.98,0.98,0,0,0,0,97.18,0,0.98,25.52,76.57,0,0,5.89,0,0.98,0,0,0,0.98,0.98,0,5.89,0,0,0,0,1.96
 84-94,0,0,0,5.31,1.06,49.92,0,0,14.87,31.86,0,0,0,5.31,0,0,0,0,0,73.28,0,1.06,22.3,42.48,0,1.06,0,0,0,0,0,0,0,0,0,5.31,1.06,0,1.06,1.06,0
 96-106,0,0,0,3.28,1.09,34.97,1.09,1.09,16.39,55.74,0,0,1.09,2.19,0,0,0,0,0,39.34,0,0,8.74,46.99,0,0,8.74,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,3.28
108-118,0,0,0,3.06,0.77,36,0,0.77,18.38,67.4,0,0,0.77,2.3,0,2.3,0,0.77,0,60.51,0,0,11.49,73.53,0,1.53,6.89,0,1.53,0,0,0,0,0,0,2.3,0,0,0,1.53,0.77
120,0,0,0,7.84,1.96,27.44,0,0,13.72,54.87,0,0,1.96,1.96,0,1.96,1.96,1.96,0,62.71,0,0,17.64,76.43,0,3.92,1.96,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0
