stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,16.42,0,0,0.82,0,0,5.75,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0,36.26,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0.57,2.3,0,0.57,0.57,2.87,0,0,0,1.15,0,76.32,0,0,0,0,0,20.08,0,0,0,0,0
 60-70,0,10.8,0,0,0,18.65,0,0,0,6.87,0,149.19,0,0.98,0,0,0,28.46,0,0,0,0,0.98
 72-82,0.98,34.36,0,0,0,32.39,0,0,0,4.91,0,217.93,0,0,0.98,0,0,31.41,0,0,0,0.98,0
 84-94,2.12,28.68,1.06,0,1.06,21.24,0,1.06,0,2.12,1.06,111.51,0,1.06,1.06,0,0,22.3,0,0,1.06,1.06,0
 96-106,1.09,32.79,1.09,0,2.19,21.86,1.09,0,1.09,4.37,0,118.03,0,3.28,1.09,1.09,0,10.93,1.09,1.09,0,0,0
108-118,2.3,17.62,0,0,0,23.74,0,0,0,1.53,0.77,103.41,1.53,0,0,0,0,11.49,0,0,1.53,0,0
120,0,13.72,1.96,0,0,27.44,1.96,0,0,3.92,0,156.78,0,0,0,0,0,15.68,0,0,0,1.96,0
