stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,39.43,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,28.32,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,3,1,0,0
 24-34,0,0,0,0,3.28,0.82,0,0,0.82,0,7.39,0,0,0.82,0,0,4.1,0,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,7.25,0,0,0,0,0,4.83,0,0,1.61,0,0,0.81,4.83,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0.57,0,0,1.15,0.57,0,0.57,0,0,0,2.3,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,4.91,0
 72-82,0,0,0,0,0,3.93,0.98,0.98,0,0,5.89,0.98,0.98,1.96,0,0,0,0,0,0,0,0,0,10.8,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,13.81,1.06,0,1.06,0,1.06,1.06,0,0,1.06,0,0,0,8.5,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,9.84,1.09,0,4.37,0,0,0,0,0,2.19,0,0,1.09,13.11,1.09
108-118,0,0,0,1.53,0,0,0,0,0,0,7.66,0,0,0,0.77,0,0.77,0,0,2.3,0,0,0,13.79,0
120,0,0,0,3.92,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0
