stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,69.23,3.15,0,0,25.18,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,1,7,1,0,0,0,0,2,0,0,0,1,0,0,9,3,0,0,2,4,0,0,1,1,0,0,0,4,0,0,2,8,0,0,0,0
 24-34,0,0,0,11.49,0,2.46,0,0,0,0.82,0,0.82,0,0,0,0,4.1,11.49,0,0,2.46,36.12,0,0.82,4.93,0,0,1.64,0,0,0,2.46,0.82,12.31,0,0,0,0
 36-46,0,0,0.81,2.42,0,1.61,0,0.81,0,4.83,0,0,0,0,0,0.81,3.22,17.72,0,0,2.42,68.48,0,2.42,2.42,0,0,0.81,0,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0,3.44,0,5.16,0,0,0.57,5.16,0,0.57,0,0,0,0,2.87,21.23,0,0,1.72,49.92,0,2.3,0.57,0,0,1.72,0,0,0,0,0,9.75,0,0,0.57,0
 60-70,0,0,0,3.93,0,20.61,0,0,0.98,3.93,0,0,0,0.98,0.98,0,3.93,30.43,0,0,1.96,96.19,0.98,0,0,0,0.98,0.98,0,0,0,3.93,0,18.65,0,0.98,0,0
 72-82,0,0,0,0.98,0,17.67,0,0,0,4.91,0.98,0.98,0.98,0,0,0,12.76,46.14,0,2.94,2.94,118.78,0,0,1.96,0,0.98,2.94,0,0,0,0,0,19.63,0,0.98,6.87,0.98
 84-94,0,0,0,5.31,1.06,13.81,0,0,1.06,3.19,0,0,0,0,0,0,43.54,33.99,0,1.06,0,41.42,0,5.31,1.06,0,0,3.19,0,0,0,0,0,4.25,1.06,1.06,3.19,0
 96-106,0,3.28,0,5.46,0,13.11,0,1.09,2.19,4.37,1.09,0,2.19,0,0,0,27.32,18.58,0,1.09,0,53.55,0,2.19,2.19,0,1.09,3.28,0,0,0,0,0,4.37,1.09,0,4.37,2.19
108-118,0,2.3,0,4.6,0,16.09,0.77,1.53,0,1.53,2.3,0.77,0,0,0,0.77,80.43,14.55,0.77,0,3.06,48.26,0,1.53,1.53,0,0.77,3.06,0,0,0,6.13,0,1.53,0,0,1.53,0
120,0,0,0,1.96,0,13.72,1.96,0,1.96,7.84,0,0,0,0,0,0,70.55,5.88,0,0,0,50.95,0,0,3.92,0,1.96,0,0,0,0,1.96,0,1.96,0,1.96,5.88,0
