stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,63,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,1,1,0,2,1,6,0,0,6,0
 24-34,0,0,0,0,60.74,1.64,0,2.46,3.28,0,0,0.82,0.82,4.1,0,15.6,0,0,0,1.64,31.19,0,0.82,11.49,0,0,0,0,0.82,4.93,0,0,17.24,0
 36-46,0,0,0,0,33.03,0.81,0,3.22,6.45,0,1.61,0,0.81,7.25,0,8.86,0,0,0,0.81,41.89,0.81,0,12.09,0,0.81,0,0,0.81,4.03,0,0,11.28,0
 48-58,0,0,0,0,14.92,0,0,2.87,13.2,0,0,0.57,0,9.18,0.57,5.16,0,0,0,3.44,36.15,0.57,0,12.62,0,0,0,0,0,3.44,0,0,8.61,0
 60-70,0,0,0,0,15.7,0,0,4.91,18.65,0,0,0,0,7.85,4.91,2.94,0,0,0,2.94,34.35,0,0,7.85,0,0,0.98,0,0,0.98,0,0,6.87,0.98
 72-82,0,0,0.98,0,25.52,0,0,6.87,21.6,0,0.98,3.93,0,18.65,33.38,6.87,0,0.98,0.98,5.89,79.51,2.94,0,5.89,0,0.98,0,0,0,0.98,0,0.98,5.89,5.89
 84-94,1.06,0,1.06,0,87.09,0,0,3.19,35.05,0,0,6.37,0,8.5,30.8,4.25,0,0,6.37,6.37,75.4,2.12,1.06,8.5,0,0,0,0,2.12,0,1.06,2.12,7.43,5.31
 96-106,0,0,0,0,87.43,1.09,1.09,3.28,42.62,1.09,2.19,16.39,0,24.04,45.9,8.74,0,2.19,8.74,8.74,103.82,4.37,0,6.56,0,2.19,0,0,4.37,0,1.09,2.19,8.74,10.93
108-118,0,0,0.77,0,94.98,0,0.77,2.3,49.02,0,0.77,16.85,0,6.13,42.13,7.66,0,0.77,7.66,5.36,78.13,3.83,0,5.36,0,0.77,0,0,1.53,0,1.53,0,7.66,3.06
120,0,0,3.92,0,88.19,0,0,1.96,27.44,0,0,11.76,0,3.92,60.75,3.92,1.96,0,3.92,3.92,54.87,1.96,3.92,1.96,0,0,0,0,1.96,0,1.96,1.96,1.96,0
