stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,17,0,1,0,2,0,2,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,8.21,0,0.82,0,0,2.46,3.28,0,0.82,42.68,0,0.82,4.1,0,0,56.64,0,0,0,2.46,1.64,22.98,0,0,1.64,0,0
 36-46,0,0,0,0,0,6.45,0.81,0,0,0.81,0,1.61,0.81,0.81,4.03,0,1.61,0,1.61,6.45,5.64,0,3.22,143.41,0.81,4.03,4.03,0,0,60.43,0,0,0,3.22,0,31.42,0,0,1.61,0,1.61
 48-58,0,0,2.87,0,0,33.85,1.72,0.57,0,2.3,1.15,4.02,0,0.57,1.15,0,1.72,0,1.72,9.18,7.46,0,1.72,210.59,0.57,2.3,4.02,0,0,59.68,0,0,0.57,1.72,0,29.84,0,0,0.57,0,1.15
 60-70,0,0,5.89,0,0,110.91,4.91,2.94,0,6.87,1.96,1.96,0.98,0,1.96,0,3.93,0,0,11.78,7.85,0.98,2.94,383.78,0,5.89,10.8,0,0.98,66.74,0,0,0,6.87,0,44.17,0,0,0,0,2.94
 72-82,0,0,7.85,0,0,246.4,0.98,0.98,1.96,14.72,8.83,2.94,0,0,2.94,0,11.78,0,0,23.56,14.72,0.98,0,409.35,0,9.82,23.56,0,0.98,72.64,0,0,0,1.96,0,40.25,0,0,3.93,0,0
 84-94,0,0,24.43,0,0,162.49,2.12,3.19,0,21.24,5.31,1.06,0,1.06,7.43,1.06,5.31,1.06,1.06,7.43,13.81,2.12,3.19,179.48,0,6.37,39.3,0,0,218.78,0,0,2.12,5.31,0,16.99,1.06,0,0,2.12,0
 96-106,0,1.09,33.88,1.09,0,195.62,10.93,6.56,1.09,17.49,22.95,0,1.09,2.19,8.74,0,14.21,0,0,21.86,14.21,3.28,1.09,190.16,0,14.21,37.16,0,0,219.66,1.09,0,1.09,4.37,0,15.3,7.65,0,2.19,0,2.19
108-118,0,1.53,32.94,0,0.77,135.58,11.49,3.83,0.77,24.51,25.28,0.77,1.53,1.53,12.26,0,8.43,0.77,0.77,21.45,7.66,0.77,5.36,199.15,0,6.89,29.11,0,0,164.68,0,0,1.53,5.36,0,8.43,8.43,0,0,0.77,0.77
120,0,0,39.2,0,1.96,164.62,9.8,5.88,0,21.56,21.56,0,0,1.96,9.8,0,9.8,0,0,31.36,11.76,1.96,3.92,270.45,1.96,13.72,35.28,0,0,121.51,0,0,1.96,1.96,0,17.64,7.84,1.96,0,0,0
