stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,276.74,4809.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0
  5-6,134.85,2010.52,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,30.65,30.65,0,0,0,0,0,0,0,0
  7-9,26.29,44.69,42.06,0,0,0,73.6,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,683.47,18.4,0,0,254.99,2.63,26.29,0,0,0,0,0,0,0
 10-12,3.15,12.59,18.88,0,0,0,94.41,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,456.31,12.59,0,0,191.97,0,9.44,3.15,9.44,0,3.15,0,0,0
 14-21,0,0,4,15,6,0,5,0,0,0,2,2,0,0,0,2,0,0,0,7,0,0,6,110,11,1,1,5,8,0,17,1,26,37,25,1,0
 24-34,0,0,0.82,3.28,0.82,0,22.16,0,0.82,0,0,0,0,0.82,0,0,0,0,0,26.27,0,0,6.57,208.5,3.28,0.82,1.64,0,23.8,0,0,0,0,1.64,32.83,4.1,0.82
 36-46,0,0,0.81,3.22,0.81,0,30.62,0,0.81,0,4.83,0,0,0.81,0,0,0.81,0,0,9.67,0,2.42,2.42,97.49,0.81,0.81,0,0,4.03,0,0,0,0,0,26.59,0.81,1.61
 48-58,0,0,0.57,0,0,0,31.56,0.57,0,0.57,2.87,0,0,0,0,0.57,0,0,0,10.9,0.57,0.57,2.3,36.72,1.15,0,0.57,0,2.3,0,0,0,0,0,4.59,0,0.57
 60-70,0.98,0,0,1.96,0,0,28.46,0.98,0,0.98,7.85,0,0,0,0,0.98,0.98,0,0.98,10.8,0,1.96,0,25.52,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,0,7.85,0,0,0,3.93,0.98,0,0,0,0,0,0,0,10.8,0,0,4.91,22.58,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,2.12,0,0,11.68,0,0,1.06,1.06,3.19,0,1.06,2.12,1.06,1.06,1.06,0,13.81,0,2.12,3.19,13.81,1.06,0,0,0,3.19,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,0,0,1.09,3.28,0,1.09,1.09,4.37,1.09,0,1.09,0,0,0,0,0,5.46,0,0,1.09,6.56,1.09,0,3.28,0,1.09,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,3.06,0.77,0,3.06,0,0,0,5.36,0.77,0,0,0.77,0.77,0,0,0,6.89,0,0.77,1.53,11.49,0,0.77,0,0,1.53,0,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,0,9.8,0,0,0,9.8,0,0,0,1.96,1.96,0,0,0,7.84,0,0,3.92,11.76,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0
