stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,64,27,2,0,0,0,0,0
 24-34,0,0,2.46,1.64,0,2.46,134.62,0,0.82,0,0,0,0.82,0,0.82,0,0,4.1,0,0,16.42,20.52,0.82,0,0,0,0,1.64,0,0.82,0.82,83.73,14.78,2.46,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,4.03,366.58,0,0,2.42,0,0,0,0,0,0,0.81,12.89,0,0,33.03,41.09,0,0,0,0,0,2.42,0,0,0,111.18,4.03,2.42,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,27.54,405.11,0,1.72,6.89,0,0,0,0.57,0,0,0.57,16.64,0,0,57.38,61.97,0,0.57,0,0,0,2.3,0,0,0,100.99,0,12.05,0,0.57,1.15,0,2.87
 60-70,0,0,1.96,0,0,15.7,295.44,0,3.93,1.96,0,0,0.98,0,0.98,0,0,15.7,0,0,47.11,42.21,0,0,0,0.98,0,0,0,0,0,67.73,0,6.87,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,23.56,213.02,0,0.98,4.91,0,0.98,0,0.98,0,0.98,0,28.47,0,0.98,49.08,51.05,0,0,0.98,0,0,3.93,0,0,0,30.43,0,3.93,0,0,1.96,1.96,1.96
 84-94,0,0,5.31,4.25,0,27.61,355.78,0,1.06,6.37,1.06,1.06,1.06,0,0,0,0,21.24,0,1.06,60.54,45.67,0,1.06,0,0,0,9.56,0,0,0,76.47,0,2.12,0,1.06,1.06,0,1.06
 96-106,0,1.09,8.74,9.84,0,40.44,614.18,1.09,1.09,6.56,5.46,5.46,1.09,2.19,0,4.37,0,36.06,0,0,61.2,72.13,3.28,0,0,0,2.19,12.02,1.09,0,0,74.31,0,3.28,0,0,2.19,1.09,1.09
108-118,0,0.77,6.89,2.3,0.77,32.94,460.34,0.77,1.53,8.43,1.53,0.77,0,0.77,0.77,5.36,0,25.28,0,0.77,72.77,49.02,0.77,0,0.77,0,0.77,7.66,0,0,0,60.51,0,1.53,0.77,0.77,0.77,0.77,2.3
120,0,0,5.88,0,0,17.64,262.61,0,0,1.96,1.96,0,0,1.96,0,1.96,0,23.52,1.96,1.96,52.91,47.03,0,1.96,0,1.96,0,3.92,0,0,1.96,21.56,0,1.96,0,0,0,0,0
