stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1634.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,226.8,2991.26,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,18.39,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,36.8,34.17,0,34.17,0,0,0,170.87,0,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,1408.99,21.03,0,441.62,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,50.35,0,12.59,0,188.82,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,1268.23,9.44,0,509.81,0,6.29,3.15,56.65,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,21,7,0,40,0,0,0,1,0,1,0,0,1,0,0,0,0,16,0,0,12,139,3,0,6,0,0,32,0,0,73,32,0,1,0,0
 24-34,0,0,0,3.28,8.21,6.57,0,63.21,0,0,0,1.64,0.82,0,0,0,1.64,0,0,0,0,34.48,0,0,7.39,148.57,0,1.64,0,0,3.28,0,0,0,13.95,14.78,0,0.82,0,2.46
 36-46,0,0,0,0,2.42,0,0,17.72,0,0,0,4.03,2.42,0,0,0,0,0,0,0,0,13.7,0,0,5.64,66.06,0,1.61,0,0,2.42,0,0,0,0.81,7.25,0,1.61,0,0
 48-58,0,0,0,0,4.59,0.57,0,21.8,0.57,0,0,9.18,1.15,0,0,0,0.57,0.57,0.57,1.15,0,17.21,0.57,1.15,7.46,36.72,0,0,0,0,1.15,0,0,0,0,3.44,0,1.72,0,0
 60-70,0,0,0,0,3.93,1.96,0,14.72,0,0,0.98,9.82,5.89,0,0,0.98,0,0,0,3.93,0,18.65,1.96,0.98,6.87,29.45,0,0.98,0,0,0,0,0.98,0.98,0,0.98,0.98,0.98,0,0
 72-82,0,0,0.98,0,8.83,4.91,3.93,20.61,0,0,0,20.61,8.83,0,0,0.98,1.96,0,0,0.98,0,21.6,0,1.96,19.63,31.41,0.98,0.98,0,0,1.96,0,0,0,0,3.93,0,2.94,0,0
 84-94,0,0,0,0,1.06,4.25,1.06,19.12,0,1.06,3.19,11.68,6.37,0,0,5.31,2.12,0,1.06,3.19,0,21.24,0,1.06,12.74,22.3,1.06,0,0,0,5.31,0,1.06,0,0,1.06,0,5.31,0,0
 96-106,0,0,0,0,8.74,1.09,2.19,12.02,0,0,0,9.84,8.74,0,1.09,7.65,1.09,0,0,1.09,0,20.76,0,0,18.58,22.95,1.09,1.09,0,0,4.37,0,1.09,0,0,1.09,0,6.56,2.19,0
108-118,0,0,0,0,16.09,7.66,14.55,6.89,0,1.53,3.06,13.02,1.53,0,0.77,6.13,0.77,0,0.77,0,0.77,23.74,0.77,0.77,19.15,23.74,0.77,1.53,0,1.53,4.6,0,0,0,0,0,0,3.83,0,0
120,0,0,0,0,23.52,23.52,9.8,21.56,0,1.96,1.96,19.6,9.8,0,0,19.6,1.96,0,0,0,0,27.44,1.96,3.92,45.08,47.03,1.96,0,0,1.96,5.88,0,0,1.96,0,0,0,13.72,5.88,0
