stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,9.44,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,3
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,4.1,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,3.22,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0.57,0,0,2.87,0,0,0,0,0,2.87
 60-70,0,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,0,1.96,0.98,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,3.28,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
